"CID10","OPC","CAT","SUBCAT","DESCR","RESTRSEXO"
"M919","","N","S","M91.9 Osteocondrose juvenil NE quadril e pelve","5"
"M92","","S","N","M92   Outr osteocondroses juvenis","5"
"M920","","N","S","M92.0 Osteocondrose juvenil do umero","5"
"M921","","N","S","M92.1 Osteocondrose juvenil do radio e do cubito","5"
"M922","","N","S","M92.2 Osteocondrose juvenil da mao","5"
"M923","","N","S","M92.3 Outr osteocondroses juvenis do membro super","5"
"M924","","N","S","M92.4 Osteocondrose juvenil da rotula","5"
"M925","","N","S","M92.5 Osteocondrose juvenil da tibia e peronio","5"
"M926","","N","S","M92.6 Osteocondrose juvenil do tarso","5"
"M927","","N","S","M92.7 Osteocondrose juvenil do metatarso","5"
"M928","","N","S","M92.8 Outr osteocondroses juvenis espec","5"
"M929","","N","S","M92.9 Osteocondrose juvenil NE","5"
"M93","","S","N","M93   Outr osteocondropatias","5"
"M930","","N","S","M93.0 Luxacao da epifise super do femur","5"
"M931","","N","S","M93.1 Doenc de Kienbock do adulto","5"
"M932","","N","S","M93.2 Osteocondrite dissecante","5"
"M938","","N","S","M93.8 Outr osteocondropatias espec","5"
"M939","","N","S","M93.9 Osteocondropatias NE","5"
"M94","","S","N","M94   Outr transt das cartilagens","5"
"M940","","N","S","M94.0 Sindr da juncao condrocostal","5"
"M941","","N","S","M94.1 Policondrite recidivante","5"
"M942","","N","S","M94.2 Condromalacia","5"
"M943","","N","S","M94.3 Condrolise","5"
"M948","","N","S","M94.8 Outr transt espec da cartilagem","5"
"M949","","N","S","M94.9 Transt NE da cartilagem","5"
"M95","","S","N","M95   Outr deform adquir sist osteomusc tec conj","5"
"M950","","N","S","M95.0 Deform adquir do nariz","5"
"M951","","N","S","M95.1 Orelha em couve-flor","5"
"M952","","N","S","M95.2 Outr deform adquir da cabeca","5"
"M953","","N","S","M95.3 Deform adquir do pescoco","5"
"M954","","N","S","M95.4 Deform adquir do torax e das costelas","5"
"M955","","N","S","M95.5 Deform adquir da pelve","5"
"M958","","N","S","M95.8 Outr deform adquir espec sist osteomuscular","5"
"M959","","N","S","M95.9 Deform adquir do sist osteomuscular NE","5"
"M96","","S","N","M96   Transt osteomusculares pos-proced NCOP","5"
"M960","","N","S","M96.0 Pseudo-artrose apos fusao ou artrodese","5"
"M961","","N","S","M96.1 Sindr pos-laminectomia NCOP","5"
"M962","","N","S","M96.2 Cifose pos-radiacao","5"
"M963","","N","S","M96.3 Cifose pos-laminectomia","5"
"M964","","N","S","M96.4 Lordose pos-cirurgica","5"
"M965","","N","S","M96.5 Escoliose pos-radiacao","5"
"M966","","N","S","M96.6 Frat osso subs impl ortop prot art placa oss","5"
"M968","","N","S","M96.8 Outr transt osteomusculares pos-proced","5"
"M969","","N","S","M96.9 Transt osteomuscular NE pos-proced","5"
"M99","","S","N","M99   Lesoes biomecanicas NCOP","5"
"M990","","N","S","M99.0 Disfuncao segmentar e somatica","5"
"M991","","N","S","M99.1 Complexo de subluxacao","5"
"M992","","N","S","M99.2 Estenose de subluxacao do canal medular","5"
"M993","","N","S","M99.3 Estenose ossea do canal medular","5"
"M994","","N","S","M99.4 Estenose de tec conjuntivo do canal medular","5"
"M995","","N","S","M99.5 Estenose disco intervertebral canal medular","5"
"M996","","N","S","M99.6 Estenose ossea subluxacao forames intervert","5"
"M997","","N","S","M99.7 Estenose tec conj e disco forames intervert","5"
"M998","","N","S","M99.8 Outr lesoes biomecanicas","5"
"M999","","N","S","M99.9 Lesao biomecanica NE","5"
"N00","","S","N","N00   Sindr nefritica aguda","5"
"N000","","N","S","N00.0 Anormalidade glomerular minor","5"
"N001","","N","S","N00.1 Lesoes glomerulares focais e segmentares","5"
"N002","","N","S","N00.2 Glomerulonefrite membranosa difusa","5"
"N003","","N","S","N00.3 Glomerulonefrite prolifer mesangial difusa","5"
"N004","","N","S","N00.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N005","","N","S","N00.5 Glomerulonefrite mesangiocapilar difusa","5"
"N006","","N","S","N00.6 Doenc de deposito denso","5"
"N007","","N","S","N00.7 Glomerulonefrite difusa em crescente","5"
"N008","","N","S","N00.8 Outr","5"
"N009","","N","S","N00.9 NE","5"
"N01","","S","N","N01   Sindr nefritica rapidamente progressiva","5"
"N010","","N","S","N01.0 Anormalidade glomerular minor","5"
"N011","","N","S","N01.1 Lesoes glomerulares focais e segmentares","5"
"N012","","N","S","N01.2 Glomerulonefrite membranosa difusa","5"
"N013","","N","S","N01.3 Glomerulonefrite prolifer mesangial difusa","5"
"N014","","N","S","N01.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N015","","N","S","N01.5 Glomerulonefrite mesangiocapilar difusa","5"
"N016","","N","S","N01.6 Doenc de deposito denso","5"
"N017","","N","S","N01.7 Glomerulonefrite difusa em crescente","5"
"N018","","N","S","N01.8 Outr","5"
"N019","","N","S","N01.9 NE","5"
"N02","","S","N","N02   Hematuria recidivante e persistente","5"
"N020","","N","S","N02.0 Anormalidade glomerular minor","5"
"N021","","N","S","N02.1 Lesoes glomerulares focais e segmentares","5"
"N022","","N","S","N02.2 Glomerulonefrite membranosa difusa","5"
"N023","","N","S","N02.3 Glomerulonefrite prolifer mesangial difusa","5"
"N024","","N","S","N02.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N025","","N","S","N02.5 Glomerulonefrite mesangiocapilar difusa","5"
"N026","","N","S","N02.6 Doenc de deposito denso","5"
"N027","","N","S","N02.7 Glomerulonefrite difusa em crescente","5"
"N028","","N","S","N02.8 Outr","5"
"N029","","N","S","N02.9 NE","5"
"N03","","S","N","N03   Sindr nefritica cronica","5"
"N030","","N","S","N03.0 Anormalidade glomerular minor","5"
"N031","","N","S","N03.1 Lesoes glomerulares focais e segmentares","5"
"N032","","N","S","N03.2 Glomerulonefrite membranosa difusa","5"
"N033","","N","S","N03.3 Glomerulonefrite prolifer mesangial difusa","5"
"N034","","N","S","N03.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N035","","N","S","N03.5 Glomerulonefrite mesangiocapilar difusa","5"
"N036","","N","S","N03.6 Doenc de deposito denso","5"
"N037","","N","S","N03.7 Glomerulonefrite difusa em crescente","5"
"N038","","N","S","N03.8 Outr","5"
"N039","","N","S","N03.9 NE","5"
"N04","","S","N","N04   Sindr nefrotica","5"
"N040","","N","S","N04.0 Anormalidade glomerular minor","5"
"N041","","N","S","N04.1 Lesoes glomerulares focais e segmentares","5"
"N042","","N","S","N04.2 Glomerulonefrite membranosa difusa","5"
"N043","","N","S","N04.3 Glomerulonefrite prolifer mesangial difusa","5"
"N044","","N","S","N04.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N045","","N","S","N04.5 Glomerulonefrite mesangiocapilar difusa","5"
"N046","","N","S","N04.6 Doenc de deposito denso","5"
"N047","","N","S","N04.7 Glomerulonefrite difusa em crescente","5"
"N048","","N","S","N04.8 Outr","5"
"N049","","N","S","N04.9 NE","5"
"N05","","S","N","N05   Sindr nefritica NE","5"
"N050","","N","S","N05.0 Anormalidade glomerular minor","5"
"N051","","N","S","N05.1 Lesoes glomerulares focais e segmentares","5"
"N052","","N","S","N05.2 Glomerulonefrite membranosa difusa","5"
"N053","","N","S","N05.3 Glomerulonefrite prolifer mesangial difusa","5"
"N054","","N","S","N05.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N055","","N","S","N05.5 Glomerulonefrite mesangiocapilar difusa","5"
"N056","","N","S","N05.6 Doenc de deposito denso","5"
"N057","","N","S","N05.7 Glomerulonefrite difusa em crescente","5"
"N058","","N","S","N05.8 Outr","5"
"N059","","N","S","N05.9 NE","5"
"N06","","S","N","N06   Proteinuria isolada c/lesao morfolog espec","5"
"N060","","N","S","N06.0 Anormalidade glomerular minor","5"
"N061","","N","S","N06.1 Lesoes glomerulares focais e segmentares","5"
"N062","","N","S","N06.2 Glomerulonefrite membranosa difusa","5"
"N063","","N","S","N06.3 Glomerulonefrite prolifer mesangial difusa","5"
"N064","","N","S","N06.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N065","","N","S","N06.5 Glomerulonefrite mesangiocapilar difusa","5"
"N066","","N","S","N06.6 Doenc de deposito denso","5"
"N067","","N","S","N06.7 Glomerulonefrite difusa em crescente","5"
"N068","","N","S","N06.8 Outr","5"
"N069","","N","S","N06.9 NE","5"
"N07","","S","N","N07   Nefropatia hereditaria NCOP","5"
"N070","","N","S","N07.0 Anormalidade glomerular minor","5"
"N071","","N","S","N07.1 Lesoes glomerulares focais e segmentares","5"
"N072","","N","S","N07.2 Glomerulonefrite membranosa difusa","5"
"N073","","N","S","N07.3 Glomerulonefrite prolifer mesangial difusa","5"
"N074","","N","S","N07.4 Glomerulonefrite prolifer endocapilar difusa","5"
"N075","","N","S","N07.5 Glomerulonefrite mesangiocapilar difusa","5"
"N076","","N","S","N07.6 Doenc de deposito denso","5"
"N077","","N","S","N07.7 Glomerulonefrite difusa em crescente","5"
"N078","","N","S","N07.8 Outr","5"
"N079","","N","S","N07.9 NE","5"
"N08","*","S","N","N08   Transt glomerulares em doenc COP","5"
"N080","*","N","S","N08.0 Transt glomerulares doenc infecc parasit COP","5"
"N081","*","N","S","N08.1 Transt glomerulares em doenc neoplasicas","5"
"N082","*","N","S","N08.2 Transt glomerulares doenc sangue transt imun","5"
"N083","*","N","S","N08.3 Transt glomerulares no diabetes mellitus","5"
"N084","*","N","S","N08.4 Transt glomerulares doenc endocr nutr metab","5"
"N085","*","N","S","N08.5 Transt glomerulares doenc sist tec conjunt","5"
"N088","*","N","S","N08.8 Transt glomerulares em outr doenc COP","5"
"N10","","S","S","N10   Nefrite tubulo-intersticial aguda","5"
"N11","","S","N","N11   Nefrite tubulo-intersticial cronica","5"
"N110","","N","S","N11.0 Pielonefrite nao-obstrut cron assoc refluxo","5"
"N111","","N","S","N11.1 Pielonefrite obstrutiva cronica","5"
"N118","","N","S","N11.8 Outr nefrites tubulo-intersticiais cronicas","5"
"N119","","N","S","N11.9 Nefrite tubulo-intersticial cronica NE","5"
"N12","","S","S","N12   Nefrite tubulo-intersticial NE aguda cronica","5"
"N13","","S","N","N13   Uropatia obstrutiva e p/refluxo","5"
"N130","","N","S","N13.0 Hidronefrose c/obstr juncao uretero-pelvica","5"
"N131","","N","S","N13.1 Hidronefrose c/estreitamento de ureter NCOP","5"
"N132","","N","S","N13.2 Hidronefr c/obstr p/calculose renal ureteral","5"
"N133","","N","S","N13.3 Outr hidronefroses e as NE","5"
"N134","","N","S","N13.4 Hidroureter","5"
"N135","","N","S","N13.5 Torcao e estreitamento ureter s/hidronefrose","5"
"N136","","N","S","N13.6 Pionefrose","5"
"N137","","N","S","N13.7 Uropatia assoc a refluxo vesico-ureteral","5"
"N138","","N","S","N13.8 Outr uropatias obstrutivas e p/refluxo","5"
"N139","","N","S","N13.9 Uropatia obstrutiva e p/refluxo NE","5"
"N14","","S","N","N14   Afec tubul tubulo-interst ind drog met pesad","5"
"N140","","N","S","N14.0 Nefropatia induz p/analgesico","5"
"N141","","N","S","N14.1 Nefropatia induz out drog medic subst biolog","5"
"N142","","N","S","N14.2 Nefropatia induz drog medic subst biolog NE","5"
"N143","","N","S","N14.3 Nefropatia induz p/metais pesados","5"
"N144","","N","S","N14.4 Nefropatia toxica NCOP","5"
"N15","","S","N","N15   Outr doenc renais tubulo-intersticiais","5"
"N150","","N","S","N15.0 Nefropatia dos Balcas","5"
"N151","","N","S","N15.1 Abscesso renal e perinefretico","5"
"N158","","N","S","N15.8 Outr doenc renais tubulo-intersticiais espec","5"
"N159","","N","S","N15.9 Doenc renal tubulo-intersticial NE","5"
"N16","*","S","N","N16   Transt renais tubulo-intersticiais doenc COP","5"
"N160","*","N","S","N16.0 Transt renais tub-interst doen inf paras COP","5"
"N161","*","N","S","N16.1 Transt renais tubulo-interst doenc neoplas","5"
"N162","*","N","S","N16.2 Transt renais tub-inter doen sang trans imun","5"
"N163","*","N","S","N16.3 Transt renais tubulo-interst doenc metab","5"
"N164","*","N","S","N16.4 Transt renais tubulo-interst doenc tec conj","5"
"N165","*","N","S","N16.5 Transt renais tubulo-interst rej transpl","5"
"N168","*","N","S","N16.8 Transt renais tubulo-interst outr doenc COP","5"
"N17","","S","N","N17   Insuf renal aguda","5"
"N170","","N","S","N17.0 Insuf renal aguda c/necrose tubular","5"
"N171","","N","S","N17.1 Insuf renal aguda c/necrose cortical aguda","5"
"N172","","N","S","N17.2 Insuf renal aguda c/necrose medular","5"
"N178","","N","S","N17.8 Outr tipo de insuf renal aguda","5"
"N179","","N","S","N17.9 Insuf renal aguda NE","5"
"N18","","S","N","N18   Insuf renal cronica","5"
"N180","","N","S","N18.0 Doenc renal em estadio final","5"
"N188","","N","S","N18.8 Outr insuf renal cronica","5"
"N189","","N","S","N18.9 Insuf renal cronica NE","5"
"N19","","S","S","N19   Insuf renal NE","5"
"N20","","S","N","N20   Calculose do rim e do ureter","5"
"N200","","N","S","N20.0 Calculose do rim","5"
"N201","","N","S","N20.1 Calculose do ureter","5"
"N202","","N","S","N20.2 Calculose do rim c/calculo do ureter","5"
"N209","","N","S","N20.9 Calculose urinaria NE","5"
"N21","","S","N","N21   Calculose do trato urinario infer","5"
"N210","","N","S","N21.0 Calculose na bexiga","5"
"N211","","N","S","N21.1 Calculo uretral","5"
"N218","","N","S","N21.8 Outr calculos do trato urinario infer","5"
"N219","","N","S","N21.9 Calculo do trato urinario infer porcao NE","5"
"N22","*","S","N","N22   Calculose do trato urinario infer doenc COP","5"
"N220","*","N","S","N22.0 Calculo urinario na esquistossomose","5"
"N228","*","N","S","N22.8 Calculose do trato urinario outr doenc COP","5"
"N23","","S","S","N23   Colica nefretica NE","5"
"N25","","S","N","N25   Transt result funcao renal tubular alterada","5"
"N250","","N","S","N25.0 Osteodistrofia renal","5"
"N251","","N","S","N25.1 Diabetes insipido nefrogenico","5"
"N258","","N","S","N25.8 Outr transt result func renal tubular alter","5"
"N259","","N","S","N25.9 Transt resultante de funcao tubular alterada","5"
"N26","","S","S","N26   Rim contraido NE","5"
"N27","","S","N","N27   Hipoplasia renal de causa desconhecida","5"
"N270","","N","S","N27.0 Hipoplasia renal unilateral","5"
"N271","","N","S","N27.1 Hipoplasia renal bilateral","5"
"N279","","N","S","N27.9 Hipoplasia renal NE","5"
"N28","","S","N","N28   Outr transt do rim e do ureter NCOP","5"
"N280","","N","S","N28.0 Isquemia e infarto renal","5"
"N281","","N","S","N28.1 Cisto do rim adquir","5"
"N288","","N","S","N28.8 Outr transt espec do rim e do ureter","5"
"N289","","N","S","N28.9 Transt NE do rim e do ureter","5"
"N29","*","S","N","N29   Outr transt do rim e do ureter em doenc COP","5"
"N290","*","N","S","N29.0 Sifilis tard renal","5"
"N291","*","N","S","N29.1 Outr transt rim ureter doenc infec paras COP","5"
"N298","*","N","S","N29.8 Outr transt rim e ureter em outr doenc COP","5"
"N30","","S","N","N30   Cistite","5"
"N300","","N","S","N30.0 Cistite aguda","5"
"N301","","N","S","N30.1 Cistite intersticial","5"
"N302","","N","S","N30.2 Outr cistites cronicas","5"
"N303","","N","S","N30.3 Trigonite","5"
"N304","","N","S","N30.4 Cistite p/radiacao","5"
"N308","","N","S","N30.8 Outr cistites","5"
"N309","","N","S","N30.9 Cistite NE","5"
"N31","","S","N","N31   Disfuncoes neuromusculares da bexiga NCOP","5"
"N310","","N","S","N31.0 Bexiga neuropatica nao-inibida NCOP","5"
"N311","","N","S","N31.1 Bexiga neuropatica reflexa NCOP","5"
"N312","","N","S","N31.2 Bexiga neuropatica flacida NCOP","5"
"N318","","N","S","N31.8 Outr disfuncao neuromuscular da bexiga","5"
"N319","","N","S","N31.9 Disfuncao neuromuscular NE da bexiga","5"
"N32","","S","N","N32   Outr transt da bexiga","5"
"N320","","N","S","N32.0 Obstrucao do colo da bexiga","5"
"N321","","N","S","N32.1 Fistula entero-vesical","5"
"N322","","N","S","N32.2 Fistula vesical NCOP","5"
"N323","","N","S","N32.3 Diverticulo da bexiga","5"
"N324","","N","S","N32.4 Ruptura da bexiga nao-traum","5"
"N328","","N","S","N32.8 Outr transt espec da bexiga","5"
"N329","","N","S","N32.9 Transt NE da bexiga","5"
"N33","*","S","N","N33   Transt da bexiga em doenc COP","5"
"N330","*","N","S","N33.0 Cistite tuberc","5"
"N338","*","N","S","N33.8 Transt da bexiga em outr doenc COP","5"
"N34","","S","N","N34   Uretrite e sindr uretral","5"
"N340","","N","S","N34.0 Abscesso uretral","5"
"N341","","N","S","N34.1 Uretrites nao especificas","5"
"N342","","N","S","N34.2 Outr uretrites","5"
"N343","","N","S","N34.3 Sindr uretral NE","5"
"N35","","S","N","N35   Estenose da uretra","5"
"N350","","N","S","N35.0 Estenose uretral pos-traum","5"
"N351","","N","S","N35.1 Estenose uretral pos-infecc NCOP","5"
"N358","","N","S","N35.8 Outr estenose uretral","5"
"N359","","N","S","N35.9 Estenose uretral NE","5"
"N36","","S","N","N36   Outr transt da uretra","5"
"N360","","N","S","N36.0 Fistula uretral","5"
"N361","","N","S","N36.1 Diverticulo uretral","5"
"N362","","N","S","N36.2 Caruncula uretral","5"
"N363","","N","S","N36.3 Prolapso da mucosa uretral","5"
"N368","","N","S","N36.8 Outr transt espec da uretra","5"
"N369","","N","S","N36.9 Transt NE da uretra","5"
"N37","*","S","N","N37   Transt da uretra em doenc COP","5"
"N370","*","N","S","N37.0 Uretrite em doenc COP","5"
"N378","*","N","S","N37.8 Outr transt da uretra em doenc COP","5"
"N39","","S","N","N39   Outr transt do trato urinario","5"
"N390","","N","S","N39.0 Infecc do trato urinario de localiz NE","5"
"N391","","N","S","N39.1 Proteinuria persistente NE","5"
"N392","","N","S","N39.2 Proteinuria ortostatica NE","5"
"N393","","N","S","N39.3 Incontinencia de tensao","5"
"N394","","N","S","N39.4 Outr incontinencias urinarias espec","5"
"N398","","N","S","N39.8 Outr transt espec do aparelho urinario","5"
"N399","","N","S","N39.9 Transt NE do aparelho urinario","5"
"N40","","S","S","N40   Hiperplasia da prostata","1"
"N41","","S","N","N41   Doenc inflam da prostata","1"
"N410","","N","S","N41.0 Prostatite aguda","1"
"N411","","N","S","N41.1 Prostatite cronica","1"
"N412","","N","S","N41.2 Abscesso da prostata","1"
"N413","","N","S","N41.3 Prostatocistite","1"
"N418","","N","S","N41.8 Outr doenc inflam da prostata","1"
"N419","","N","S","N41.9 Doenc inflam NE da prostata","1"
"N42","","S","N","N42   Outr afeccoes da prostata","1"
"N420","","N","S","N42.0 Calculo da prostata","1"
"N421","","N","S","N42.1 Congestao e hemorragia da prostata","1"
"N422","","N","S","N42.2 Atrofia da prostata","1"
"N428","","N","S","N42.8 Outr afeccoes espec da prostata","1"
"N429","","N","S","N42.9 Afeccao NE da prostata","1"
"N43","","S","N","N43   Hidrocele e espermatocele","1"
"N430","","N","S","N43.0 Hidrocele encistada","1"
"N431","","N","S","N43.1 Hidrocele infectada","1"
"N432","","N","S","N43.2 Outr hidrocele","1"
"N433","","N","S","N43.3 Hidrocele NE","1"
"N434","","N","S","N43.4 Espermatocele","1"
"N44","","S","S","N44   Torcao do testiculo","1"
"N45","","S","N","N45   Orquite e epididimite","1"
"N450","","N","S","N45.0 Orquite epidid epididimo-orquite c/menc absc","1"
"N459","","N","S","N45.9 Orquite epidid epididimo-orquite s/menc absc","1"
"N46","","S","S","N46   Infertilidade masc","1"
"N47","","S","S","N47   Hipertrofia do prepucio fimose e parafimose","1"
"N48","","S","N","N48   Outr transt do penis","1"
"N480","","N","S","N48.0 Leucoplasia do penis","1"
"N481","","N","S","N48.1 Balanopostite","1"
"N482","","N","S","N48.2 Outr transt inflam do penis","1"
"N483","","N","S","N48.3 Priapismo","1"
"N484","","N","S","N48.4 Impotencia orig organica","1"
"N485","","N","S","N48.5 Ulcera do penis","1"
"N486","","N","S","N48.6 Balanite xerotica obliterante","1"
"N488","","N","S","N48.8 Outr transt espec do penis","1"
"N489","","N","S","N48.9 Transt NE do penis","1"
"N49","","S","N","N49   Transt inflam orgaos genitais masc NCOP","1"
"N490","","N","S","N49.0 Transt inflam da vesicula seminal","1"
"N491","","N","S","N49.1 Transt infl cord esperm tunic vagin vas def","1"
"N492","","N","S","N49.2 Transt inflam do escroto","1"
"N498","","N","S","N49.8 Transt inflam outr org genitais masc espec","1"
"N499","","N","S","N49.9 Transt inflam de orgao genital masc NE","1"
"N50","","S","N","N50   Outr transt dos orgaos genitais masc","1"
"N500","","N","S","N50.0 Atrofia do testiculo","1"
"N501","","N","S","N50.1 Transt vasculares orgaos genitais masc","1"
"N508","","N","S","N50.8 Outr transt espec orgaos genitais masc","1"
"N509","","N","S","N50.9 Transt NE dos orgaos genitais masc","1"
"N51","*","S","N","N51   Transt orgaos genitais masc doenc COP","1"
"N510","*","N","S","N51.0 Transt da prostata em doenc COP","1"
"N511","*","N","S","N51.1 Transt do testiculo e epididimo em doenc COP","1"
"N512","*","N","S","N51.2 Balanite em doenc COP","1"
"N518","*","N","S","N51.8 Outr transt orgaos genitais masc doenc COP","1"
"N60","","S","N","N60   Displasias mamarias benignas","5"
"N600","","N","S","N60.0 Cisto solitario da mama","5"
"N601","","N","S","N60.1 Mastopatia cistica difusa","5"
"N602","","N","S","N60.2 Fibroadenose da mama","5"
"N603","","N","S","N60.3 Fibrosclerose da mama","5"
"N604","","N","S","N60.4 Ectasia de dutos mamarios","5"
"N608","","N","S","N60.8 Outr displasias mamarias benignas","5"
"N609","","N","S","N60.9 Displasia mamaria benigna NE","5"
"N61","","S","S","N61   Transt inflam da mama","5"
"N62","","S","S","N62   Hipertrofia da mama","5"
"N63","","S","S","N63   Nodulo mamario NE","5"
"N64","","S","N","N64   Outr doenc da mama","5"
"N640","","N","S","N64.0 Fissura e fistula do mamilo","5"
"N641","","N","S","N64.1 Necrose gordurosa da mama","5"
"N642","","N","S","N64.2 Atrofia da mama","5"
"N643","","N","S","N64.3 Galactorreia nao-assoc ao parto","5"
"N644","","N","S","N64.4 Mastodinia","5"
"N645","","N","S","N64.5 Outr sint e sinais da mama","5"
"N648","","N","S","N64.8 Outr transt espec da mama","5"
"N649","","N","S","N64.9 Transt da mama NE","5"
"N70","","S","N","N70   Salpingite e ooforite","3"
"N700","","N","S","N70.0 Salpingite e ooforite agudas","3"
"N701","","N","S","N70.1 Salpingite e ooforite cronicas","3"
"N709","","N","S","N70.9 Salpingite e ooforite NE","3"
"N71","","S","N","N71   Doenc inflam do utero exceto o colo","3"
"N710","","N","S","N71.0 Doenc inflam aguda do utero","3"
"N711","","N","S","N71.1 Doenc inflam cronica do utero","3"
"N719","","N","S","N71.9 Doenc inflam NE do utero","3"
"N72","","S","S","N72   Doenc inflam do colo do utero","3"
"N73","","S","N","N73   Outr doenc inflam pelvicas femin","3"
"N730","","N","S","N73.0 Parametrite e celulite pelvicas agudas","3"
"N731","","N","S","N73.1 Parametrite e celulite pelvicas cronicas","3"
"N732","","N","S","N73.2 Parametrite e celulite pelvicas NE","3"
"N733","","N","S","N73.3 Pelviperitonite aguda femin","3"
"N734","","N","S","N73.4 Pelviperitonite cronica femin","3"
"N735","","N","S","N73.5 Pelviperitonite NE femin","3"
"N736","","N","S","N73.6 Aderencias pelviperitonais femin","3"
"N738","","N","S","N73.8 Outr doenc inflam espec pelve fem","3"
"N739","","N","S","N73.9 Doenc inflam NE da pelve femin","3"
"N74","*","S","N","N74   Transt inflam da pelve femin em doenc COP","3"
"N740","*","N","S","N74.0 Tuberc do colo do utero","3"
"N741","*","N","S","N74.1 Tuberc da pelve femin","3"
"N742","*","N","S","N74.2 Sifilis pelvica femin","3"
"N743","*","N","S","N74.3 Infecc gonococica pelvica femin","3"
"N744","*","N","S","N74.4 Infecc pelvica femin p/clamidia","3"
"N748","*","N","S","N74.8 Inflam pelvica femin em outr doenc COP","3"
"N75","","S","N","N75   Doenc da gland de Bartholin","3"
"N750","","N","S","N75.0 Cisto da gland de Bartholin","3"
"N751","","N","S","N75.1 Abscesso da gland de Bartholin","3"
"N758","","N","S","N75.8 Outr doenc da gland de Bartholin","3"
"N759","","N","S","N75.9 Doenc NE da gland de Bartholin","3"
"N76","","S","N","N76   Outr afeccoes inflam da vagina e da vulva","3"
"N760","","N","S","N76.0 Vaginite aguda","3"
"N761","","N","S","N76.1 Vaginite subaguda e cronica","3"
"N762","","N","S","N76.2 Vulvite aguda","3"
"N763","","N","S","N76.3 Vulvite subaguda e cronica","3"
"N764","","N","S","N76.4 Abscesso vulvar","3"
"N765","","N","S","N76.5 Ulceracao vaginal","3"
"N766","","N","S","N76.6 Ulceracao vulvar","3"
"N768","","N","S","N76.8 Outr inflam espec da vagina e da vulva","3"
"N77","*","S","N","N77   Ulceracao e inflam vulvovaginais doenc COP","3"
"N770","*","N","S","N77.0 Ulceracao da vulva doenc infecc parasit COP","3"
"N771","*","N","S","N77.1 Vagin vulv vulvovaginite doenc inf paras COP","3"
"N778","*","N","S","N77.8 Ulceracao inflam vulvovag outr doenc COP","3"
"N80","","S","N","N80   Endometriose","3"
"N800","","N","S","N80.0 Endometriose do utero","3"
"N801","","N","S","N80.1 Endometriose do ovario","3"
"N802","","N","S","N80.2 Endometriose da trompa de Falopio","3"
"N803","","N","S","N80.3 Endometriose do peritonio pelvico","3"
"N804","","N","S","N80.4 Endometriose do septo retovaginal e vagina","3"
"N805","","N","S","N80.5 Endometriose do intestino","3"
"N806","","N","S","N80.6 Endometriose em cicatriz cutanea","3"
"N808","","N","S","N80.8 Outr endometriose","3"
"N809","","N","S","N80.9 Endometriose NE","3"
"N81","","S","N","N81   Prolapso genital femin","3"
"N810","","N","S","N81.0 Uretrocele femin","3"
"N811","","N","S","N81.1 Cistocele","3"
"N812","","N","S","N81.2 Prolapso uterovaginal incompleto","3"
"N813","","N","S","N81.3 Prolapso uterovaginal completo","3"
"N814","","N","S","N81.4 Prolapso uterovaginal NE","3"
"N815","","N","S","N81.5 Enterocele vaginal","3"
"N816","","N","S","N81.6 Retocele","3"
"N818","","N","S","N81.8 Outr prolapso genital femin","3"
"N819","","N","S","N81.9 Prolapso genital femin NE","3"
"N82","","S","N","N82   Fistulas do trato genital femin","3"
"N820","","N","S","N82.0 Fistula vesicovaginal","3"
"N821","","N","S","N82.1 Outr fistulas do trato geniturinario femin","3"
"N822","","N","S","N82.2 Fistula vagina-intestino delgado","3"
"N823","","N","S","N82.3 Fistula vagina-colon","3"
"N824","","N","S","N82.4 Outr fistulas genito-intestinais femin","3"
"N825","","N","S","N82.5 Fistula genitocutanea femin","3"
"N828","","N","S","N82.8 Outr fistulas do trato genital femin","3"
"N829","","N","S","N82.9 Fistulas NE do trato genital femin","3"
"N83","","S","N","N83   Transt nao-infl ovario tromp Falop lig largo","3"
"N830","","N","S","N83.0 Cisto folicular do ovario","3"
"N831","","N","S","N83.1 Cisto do corpo luteo","3"
"N832","","N","S","N83.2 Outr cistos ovarianos e os NE","3"
"N833","","N","S","N83.3 Atrofia adquir do ovario e trompa de Falopio","3"
"N834","","N","S","N83.4 Prolapso e hernia ovario e trompa de Falopio","3"
"N835","","N","S","N83.5 Torcao ovario pediculo ovarian tromp Falopio","3"
"N836","","N","S","N83.6 Hematossalpinge","3"
"N837","","N","S","N83.7 Hematoma do ligamento largo","3"
"N838","","N","S","N83.8 Outr transt n infl ovar tromp Falop lig larg","3"
"N839","","N","S","N83.9 Transt n infl ovar trompa Falop lig largo NE","3"
"N84","","S","N","N84   Polipo do trato genital femin","3"
"N840","","N","S","N84.0 Polipo do corpo do utero","3"
"N841","","N","S","N84.1 Polipo do colo do utero","3"
"N842","","N","S","N84.2 Polipo da vagina","3"
"N843","","N","S","N84.3 Polipo da vulva","3"
"N848","","N","S","N84.8 Polipo de outr partes do trato genital femin","3"
"N849","","N","S","N84.9 Polipo do trato genital femin NE","3"
