"Município";"Internações"
"350510 Barbosa";3
"350520 Bariri";31
"350530 Barra Bonita";11
"350535 Barra do Chapéu";5
"350540 Barra do Turvo";4
"350550 Barretos";68
"350560 Barrinha";13
"350570 Barueri";133
"350580 Bastos";19
"350590 Batatais";36
"350600 Bauru";140
"350610 Bebedouro";17
"350630 Bernardino de Campos";9
"350635 Bertioga";32
"350640 Bilac";1
"350650 Birigui";40
"350660 Biritiba-Mirim";14
"350670 Boa Esperança do Sul";5
"350680 Bocaina";3
"350690 Bofete";3
"350700 Boituva";12
"350710 Bom Jesus dos Perdões";6
"350715 Bom Sucesso de Itararé";3
"350720 Borá";1
"350730 Boracéia";5
"350740 Borborema";5
"350750 Botucatu";89
"350760 Bragança Paulista";67
"350770 Braúna";2
"350775 Brejo Alegre";2
"350780 Brodowski";12
"350790 Brotas";9
"350800 Buri";7
"350810 Buritama";7
"350820 Buritizal";3
"350840 Cabreúva";12
"350850 Caçapava";28
"350860 Cachoeira Paulista";6
"350870 Caconde";16
"350880 Cafelândia";6
"350890 Caiabu";3
"350900 Caieiras";29
"350910 Caiuá";4
"350920 Cajamar";21
"350925 Cajati";22
"350930 Cajobi";3
"350940 Cajuru";23
"350945 Campina do Monte Alegre";1
"350950 Campinas";406
"350960 Campo Limpo Paulista";19
"350970 Campos do Jordão";19
"350980 Campos Novos Paulista";3
"350990 Cananéia";13
"350995 Canas";2
"351000 Cândido Mota";12
"351010 Cândido Rodrigues";1
"351020 Capão Bonito";10
"351030 Capela do Alto";11
"351040 Capivari";34
"351050 Caraguatatuba";48
"351060 Carapicuíba";254
"351070 Cardoso";4
"351080 Casa Branca";18
"351090 Cássia dos Coqueiros";2
"351100 Castilho";8
"351110 Catanduva";63
"351120 Catiguá";3
"351130 Cedral";11
"351140 Cerqueira César";7
"351150 Cerquilho";10
"351160 Cesário Lange";1
"351170 Charqueada";6
"355720 Chavantes";19
"351190 Clementina";2
"351200 Colina";8
"351210 Colômbia";6
"351220 Conchal";12
"351230 Conchas";6
"351240 Cordeirópolis";4
"351250 Coroados";1
"351260 Coronel Macedo";3
"351270 Corumbataí";2
"351280 Cosmópolis";16
"351290 Cosmorama";8
"351300 Cotia";134
"351310 Cravinhos";20
"351320 Cristais Paulista";5
"351340 Cruzeiro";50
"351350 Cubatão";15
"351360 Cunha";14
"351370 Descalvado";18
"351380 Diadema";589
"351385 Dirce Reis";2
"351390 Divinolândia";11
"351400 Dobrada";8
"351410 Dois Córregos";8
"351420 Dolcinópolis";2
"351430 Dourado";2
"351440 Dracena";24
"351450 Duartina";6
"351460 Dumont";1
"351470 Echaporã";8
"351480 Eldorado";13
"351490 Elias Fausto";7
"351492 Elisiário";2
"351495 Embaúba";1
"351500 Embu das Artes";138
"351510 Embu-Guaçu";36
"351512 Emilianópolis";2
"351515 Engenheiro Coelho";14
"351518 Espírito Santo do Pinhal";23
"351519 Espírito Santo do Turvo";4
"355730 Estiva Gerbi";9
"351520 Estrela d'Oeste";2
"351535 Euclides da Cunha Paulista";3
"351540 Fartura";10
"351560 Fernando Prestes";4
"351550 Fernandópolis";29
"351570 Ferraz de Vasconcelos";77
"351600 Flórida Paulista";13
"351620 Franca";246
"351630 Francisco Morato";82
"351640 Franco da Rocha";71
"351650 Gabriel Monteiro";1
"351660 Gália";5
"351670 Garça";24
"351680 Gastão Vidigal";6
"351690 General Salgado";6
"351700 Getulina";1
"351720 Guaiçara";1
"351730 Guaimbê";6
"351740 Guaíra";12
"351750 Guapiaçu";25
"351760 Guapiara";10
"351770 Guará";5
"351780 Guaraçaí";2
"351790 Guaraci";6
"351800 Guarani d'Oeste";3
"351810 Guarantã";2
"351820 Guararapes";12
"351830 Guararema";6
"351840 Guaratinguetá";81
"351850 Guareí";5
"351860 Guariba";10
"351870 Guarujá";163
"351880 Guarulhos";691
"351885 Guatapará";6
"351890 Guzolândia";1
"351900 Herculândia";4
"351905 Holambra";6
"351907 Hortolândia";55
"351920 Iacri";6
"351925 Iaras";2
"351930 Ibaté";12
"351940 Ibirá";19
"351950 Ibirarema";2
"351960 Ibitinga";78
"351970 Ibiúna";17
"351980 Icém";15
"351990 Iepê";4
"352000 Igaraçu do Tietê";6
"352010 Igarapava";13
"352020 Igaratá";16
"352030 Iguape";19
"352042 Ilha Comprida";8
"352044 Ilha Solteira";7
"352040 Ilhabela";29
"352050 Indaiatuba";156
"352060 Indiana";4
"352070 Indiaporã";1
"352080 Inúbia Paulista";2
"352090 Ipaussu";9
"352100 Iperó";6
"352110 Ipeúna";2
"352115 Ipiguá";10
"352120 Iporanga";3
"352130 Ipuã";11
"352140 Iracemápolis";5
"352150 Irapuã";5
"352160 Irapuru";1
"352170 Itaberá";3
"352180 Itaí";2
"352190 Itajobi";13
"352200 Itaju";3
"352210 Itanhaém";8
"352220 Itapecerica da Serra";108
"352230 Itapetininga";54
"352240 Itapeva";57
"352250 Itapevi";101
"352260 Itapira";55
"352265 Itapirapuã Paulista";1
"352270 Itápolis";26
"352280 Itaporanga";13
"352290 Itapuí";9
"352300 Itapura";3
"352310 Itaquaquecetuba";174
"352320 Itararé";8
"352330 Itariri";9
"352340 Itatiba";39
"352360 Itirapina";5
"352370 Itirapuã";2
"352380 Itobi";4
"352390 Itu";33
"352400 Itupeva";11
"352410 Ituverava";17
"352420 Jaborandi";4
"352430 Jaboticabal";26
"352440 Jacareí";230
"352450 Jaci";9
"352460 Jacupiranga";16
"352470 Jaguariúna";28
"352480 Jales";33
"352490 Jambeiro";2
"352500 Jandira";30
"352510 Jardinópolis";14
"352520 Jarinu";11
"352530 Jaú";64
"352540 Jeriquara";3
"352560 João Ramalho";1
"352570 José Bonifácio";47
"352580 Júlio Mesquita";4
"352585 Jumirim";2
"352590 Jundiaí";207
"352600 Junqueirópolis";5
"352610 Juquiá";17
"352620 Juquitiba";12
"352630 Lagoinha";5
"352640 Laranjal Paulista";5
"352650 Lavínia";5
"352660 Lavrinhas";1
"352670 Leme";41
"352680 Lençóis Paulista";27
"352690 Limeira";63
"352700 Lindóia";5
"352710 Lins";35
"352720 Lorena";22
"352730 Louveira";20
"352740 Lucélia";8
"352760 Luís Antônio";13
"352770 Luiziânia";2
"352780 Lupércio";4
"352790 Lutécia";2
"352800 Macatuba";12
"352810 Macaubal";3
"352820 Macedônia";1
"352830 Magda";1
"352840 Mairinque";13
"352850 Mairiporã";51
"352870 Marabá Paulista";4
"352880 Maracaí";3
"352885 Marapoama";1
"352890 Mariápolis";3
"352900 Marília";138
"352910 Marinópolis";2
"352920 Martinópolis";13
"352930 Matão";37
"352940 Mauá";170
"352950 Mendonça";3
"352960 Meridiano";2
"352965 Mesópolis";1
"352970 Miguelópolis";5
"352980 Mineiros do Tietê";4
"353000 Mira Estrela";2
"352990 Miracatu";12
"353010 Mirandópolis";25
"353020 Mirante do Paranapanema";9
"353030 Mirassol";77
"353040 Mirassolândia";11
"353050 Mococa";95
"353060 Mogi das Cruzes";198
"353070 Mogi Guaçu";85
"353080 Mogi Mirim";29
"353090 Mombuca";1
"353100 Monções";3
"353110 Mongaguá";5
"353120 Monte Alegre do Sul";2
"353130 Monte Alto";25
"353140 Monte Aprazível";12
"353150 Monte Azul Paulista";6
"353180 Monte Mor";26
"353170 Monteiro Lobato";2
"353190 Morro Agudo";15
"353200 Morungaba";2
"353210 Murutinga do Sul";3
"353220 Narandiba";3
"353230 Natividade da Serra";7
"353240 Nazaré Paulista";4
"353250 Neves Paulista";9
"353260 Nhandeara";3
"353270 Nipoã";2
"353280 Nova Aliança";20
"353282 Nova Campina";11
"353284 Nova Canaã Paulista";1
"353290 Nova Europa";3
"353300 Nova Granada";28
"353310 Nova Guataporanga";1
"353320 Nova Independência";2
"353340 Nova Odessa";19
"353350 Novo Horizonte";12
"353360 Nuporanga";3
"353370 Ocauçu";5
"353380 Óleo";4
"353390 Olímpia";15
"353400 Onda Verde";7
"353410 Oriente";1
"353420 Orindiúva";6
"353430 Orlândia";67
"353440 Osasco";359
"353450 Oscar Bressane";2
"353460 Osvaldo Cruz";21
"353470 Ourinhos";66
"353480 Ouro Verde";3
"353475 Ouroeste";5
"353490 Pacaembu";7
"353500 Palestina";15
"353510 Palmares Paulista";8
"353520 Palmeira d'Oeste";3
"353530 Palmital";12
"353540 Panorama";7
"353550 Paraguaçu Paulista";20
"353560 Paraibuna";11
"353570 Paraíso";2
"353580 Paranapanema";3
"353590 Paranapuã";2
"353600 Parapuã";5
"353610 Pardinho";4
"353620 Pariquera-Açu";33
"353625 Parisi";1
"353630 Patrocínio Paulista";6
"353640 Paulicéia";2
"353650 Paulínia";39
"353660 Paulo de Faria";7
"353670 Pederneiras";27
"353680 Pedra Bela";4
"353690 Pedranópolis";1
"353700 Pedregulho";8
"353710 Pedreira";13
"353720 Pedro de Toledo";3
"353730 Penápolis";13
"353740 Pereira Barreto";9
"353760 Peruíbe";3
"353770 Piacatu";2
"353780 Piedade";12
"353790 Pilar do Sul";9
"353800 Pindamonhangaba";61
"353810 Pindorama";11
"353820 Pinhalzinho";5
"353830 Piquerobi";1
"353850 Piquete";5
"353860 Piracaia";12
"353870 Piracicaba";335
"353880 Piraju";24
"353890 Pirajuí";5
"353900 Pirangi";5
"353910 Pirapora do Bom Jesus";5
"353920 Pirapozinho";3
"353930 Pirassununga";39
"353940 Piratininga";5
"353950 Pitangueiras";11
"353960 Planalto";8
"353970 Platina";3
"353980 Poá";45
"353990 Poloni";4
"354000 Pompéia";8
"354010 Pongaí";1
"354020 Pontal";15
"354025 Pontalinda";1
"354030 Pontes Gestal";4
"354040 Populina";1
"354050 Porangaba";2
"354060 Porto Feliz";25
"354070 Porto Ferreira";31
"354075 Potim";6
"354080 Potirendaba";22
"354085 Pracinha";2
"354090 Pradópolis";9
"354100 Praia Grande";16
"354105 Pratânia";1
"354110 Presidente Alves";2
"354120 Presidente Bernardes";3
"354130 Presidente Epitácio";60
"354140 Presidente Prudente";87
"354150 Presidente Venceslau";17
"354160 Promissão";11
"354165 Quadra";2
"354170 Quatá";9
"354180 Queiroz";5
"354190 Queluz";2
"354200 Quintana";1
"354210 Rafard";4
"354220 Rancharia";34
"354230 Redenção da Serra";2
"354240 Regente Feijó";7
"354250 Reginópolis";1
"354260 Registro";37
"354270 Restinga";6
"354290 Ribeirão Bonito";3
"354300 Ribeirão Branco";10
"354310 Ribeirão Corrente";4
"354323 Ribeirão dos Índios";3
"354325 Ribeirão Grande";1
"354330 Ribeirão Pires";21
"354340 Ribeirão Preto";376
"354360 Rifaina";1
"354370 Rincão";3
"354380 Rinópolis";5
"354390 Rio Claro";65
"354400 Rio das Pedras";17
"354410 Rio Grande da Serra";18
"354420 Riolândia";6
"354350 Riversul";1
"354425 Rosana";11
"354430 Roseira";5
"354440 Rubiácea";1
"354450 Rubinéia";1
"354460 Sabino";1
"354480 Sales";3
"354490 Sales Oliveira";4
"354500 Salesópolis";13
"354510 Salmourão";2
"354515 Saltinho";5
"354520 Salto";25
"354530 Salto de Pirapora";11
"354540 Salto Grande";1
"354550 Sandovalina";3
"354560 Santa Adélia";7
"354570 Santa Albertina";9
"354580 Santa Bárbara d'Oeste";47
"354600 Santa Branca";13
"354610 Santa Clara d'Oeste";3
"354625 Santa Cruz da Esperança";1
"354630 Santa Cruz das Palmeiras";14
"354640 Santa Cruz do Rio Pardo";55
"354650 Santa Ernestina";4
"354660 Santa Fé do Sul";12
"354670 Santa Gertrudes";17
"354680 Santa Isabel";24
"354700 Santa Maria da Serra";2
"354750 Santa Rita do Passa Quatro";24
"354760 Santa Rosa de Viterbo";17
"354765 Santa Salete";3
"354720 Santana da Ponte Pensa";4
"354730 Santana de Parnaíba";52
"354770 Santo Anastácio";12
"354780 Santo André";339
"354790 Santo Antônio da Alegria";3
"354800 Santo Antônio de Posse";4
"354805 Santo Antônio do Aracanguá";3
"354810 Santo Antônio do Jardim";3
"354820 Santo Antônio do Pinhal";5
"354840 Santópolis do Aguapeí";1
"354850 Santos";191
"354860 São Bento do Sapucaí";3
"354870 São Bernardo do Campo";268
"354880 São Caetano do Sul";74
"354890 São Carlos";117
"354900 São Francisco";2
"354910 São João da Boa Vista";41
"354920 São João das Duas Pontes";3
"354930 São João do Pau d'Alho";2
"354940 São Joaquim da Barra";39
"354950 São José da Bela Vista";4
"354960 São José do Barreiro";2
"354970 São José do Rio Pardo";41
"354980 São José do Rio Preto";508
"354990 São José dos Campos";287
"354995 São Lourenço da Serra";6
"355000 São Luís do Paraitinga";6
"355010 São Manuel";17
"355020 São Miguel Arcanjo";9
"355030 São Paulo";6475
"355040 São Pedro";32
"355050 São Pedro do Turvo";5
"355060 São Roque";43
"355070 São Sebastião";47
"355080 São Sebastião da Grama";14
"355090 São Simão";3
"355100 São Vicente";234
"355110 Sarapuí";6
"355120 Sarutaiá";3
"355130 Sebastianópolis do Sul";2
"355140 Serra Azul";9
"355160 Serra Negra";4
"355150 Serrana";31
"355170 Sertãozinho";38
"355180 Sete Barras";17
"355190 Severínia";4
"355200 Silveiras";1
"355210 Socorro";11
"355220 Sorocaba";228
"355230 Sud Mennucci";1
"355240 Sumaré";111
"355250 Suzano";99
"355260 Tabapuã";6
"355270 Tabatinga";1
"355280 Taboão da Serra";125
"355290 Taciba";6
"355310 Taiaçu";2
"355320 Taiúva";2
"355330 Tambaú";17
"355340 Tanabi";23
"355350 Tapiraí";1
"355360 Tapiratiba";8
"355365 Taquaral";1
"355370 Taquaritinga";27
"355380 Taquarituba";11
"355385 Taquarivaí";6
"355390 Tarabai";6
"355395 Tarumã";4
"355400 Tatuí";27
"355410 Taubaté";198
"355420 Tejupá";2
"355430 Teodoro Sampaio";17
"355440 Terra Roxa";2
"355450 Tietê";12
"355460 Timburi";2
"355465 Torre de Pedra";2
"355470 Torrinha";11
"355480 Tremembé";11
"355490 Três Fronteiras";6
"355495 Tuiuti";1
"355500 Tupã";55
"355510 Tupi Paulista";18
"355535 Ubarana";4
"355540 Ubatuba";68
"355550 Ubirajara";3
"355560 Uchoa";8
"355570 União Paulista";3
"355580 Urânia";6
"355600 Urupês";11
"355610 Valentim Gentil";10
"355620 Valinhos";73
"355630 Valparaíso";17
"355640 Vargem Grande do Sul";20
"355645 Vargem Grande Paulista";22
"355650 Várzea Paulista";24
"355660 Vera Cruz";9
"355670 Vinhedo";44
"355680 Viradouro";5
"355695 Vitória Brasil";1
"355700 Votorantim";43
"355710 Votuporanga";54
"355715 Zacarias";6
"410010 Abatiá";5
"410020 Adrianópolis";7
"410030 Agudos do Sul";14
"410040 Almirante Tamandaré";204
"410045 Altamira do Paraná";6
"412862 Alto Paraíso";4
"410060 Alto Paraná";5
"410070 Alto Piquiri";7
"410050 Altônia";18
"410080 Alvorada do Sul";1
"410090 Amaporã";3
"410100 Ampére";4
"410105 Anahy";3
"410110 Andirá";13
"410115 Ângulo";4
"410120 Antonina";11
"410130 Antônio Olinto";11
"410140 Apucarana";186
"410150 Arapongas";155
"410160 Arapoti";15
"410165 Arapuã";2
"410170 Araruna";12
"410180 Araucária";74
"410185 Ariranha do Ivaí";4
"410190 Assaí";18
"410200 Assis Chateaubriand";105
"410210 Astorga";26
"410220 Atalaia";1
"410230 Balsa Nova";54
"410240 Bandeirantes";12
"410250 Barbosa Ferraz";11
"410270 Barra do Jacaré";3
"410260 Barracão";5
"410275 Bela Vista da Caroba";1
"410280 Bela Vista do Paraíso";11
"410290 Bituruna";6
"410300 Boa Esperança";5
"410302 Boa Esperança do Iguaçu";3
"410304 Boa Ventura de São Roque";8
"410305 Boa Vista da Aparecida";8
"410310 Bocaiúva do Sul";15
"410320 Bom Sucesso";14
"410322 Bom Sucesso do Sul";5
"410330 Borrazópolis";10
"410335 Braganey";7
"410337 Brasilândia do Sul";5
"410340 Cafeara";1
"410345 Cafelândia";16
"410347 Cafezal do Sul";5
"410350 Califórnia";22
"410360 Cambará";14
"410370 Cambé";55
"410380 Cambira";12
"410390 Campina da Lagoa";4
"410395 Campina do Simão";2
"410400 Campina Grande do Sul";114
"410405 Campo Bonito";5
"410410 Campo do Tenente";11
"410420 Campo Largo";365
"410425 Campo Magro";80
"410430 Campo Mourão";204
"410440 Cândido de Abreu";6
"410442 Candói";12
"410445 Cantagalo";10
"410450 Capanema";12
"410460 Capitão Leônidas Marques";12
"410465 Carambeí";22
"410470 Carlópolis";16
"410480 Cascavel";191
"410490 Castro";43
"410500 Catanduvas";3
"410510 Centenário do Sul";4
"410520 Cerro Azul";8
"410530 Céu Azul";15
"410540 Chopinzinho";10
"410550 Cianorte";34
"410560 Cidade Gaúcha";2
"410570 Clevelândia";7
"410580 Colombo";307
"410590 Colorado";19
"410600 Congonhinhas";5
"410610 Conselheiro Mairinck";2
"410620 Contenda";16
"410630 Corbélia";35
"410640 Cornélio Procópio";92
"410645 Coronel Domingos Soares";11
"410650 Coronel Vivida";5
"410655 Corumbataí do Sul";7
"410680 Cruz Machado";29
"410657 Cruzeiro do Iguaçu";3
"410660 Cruzeiro do Oeste";13
"410670 Cruzeiro do Sul";2
"410685 Cruzmaltina";1
"410690 Curitiba";2213
"410700 Curiúva";9
"410715 Diamante D'Oeste";1
"410710 Diamante do Norte";2
"410712 Diamante do Sul";2
"410720 Dois Vizinhos";38
"410725 Douradina";8
"410730 Doutor Camargo";6
"412863 Doutor Ulysses";3
"410740 Enéas Marques";2
"410750 Engenheiro Beltrão";6
"410753 Entre Rios do Oeste";4
"410752 Esperança Nova";1
"410754 Espigão Alto do Iguaçu";5
"410755 Farol";12
"410760 Faxinal";24
"410765 Fazenda Rio Grande";80
"410770 Fênix";7
"410773 Fernandes Pinheiro";3
"410775 Figueira";2
"410785 Flor da Serra do Sul";8
"410780 Floraí";4
"410790 Floresta";6
"410800 Florestópolis";10
"410810 Flórida";2
"410820 Formosa do Oeste";15
"410830 Foz do Iguaçu";91
"410845 Foz do Jordão";5
"410832 Francisco Alves";5
"410840 Francisco Beltrão";37
"410850 General Carneiro";14
"410855 Godoy Moreira";1
"410860 Goioerê";27
"410865 Goioxim";7
"410870 Grandes Rios";6
"410880 Guaíra";27
"410890 Guairaçá";4
"410895 Guamiranga";3
"410900 Guapirama";10
"410910 Guaporema";1
"410920 Guaraci";1
"410930 Guaraniaçu";13
"410940 Guarapuava";149
"410950 Guaraqueçaba";2
"410960 Guaratuba";28
"410970 Ibaiti";35
"410975 Ibema";5
"410980 Ibiporã";28
"410990 Icaraíma";6
"411000 Iguaraçu";4
"411005 Iguatu";8
"411007 Imbaú";15
"411010 Imbituva";13
"411020 Inácio Martins";5
"411030 Inajá";2
"411040 Indianópolis";1
"411050 Ipiranga";12
"411060 Iporã";13
"411065 Iracema do Oeste";1
"411070 Irati";37
"411080 Iretama";11
"411090 Itaguajé";1
"411095 Itaipulândia";2
"411100 Itambaracá";1
"411110 Itambé";8
"411120 Itapejara d'Oeste";10
"411125 Itaperuçu";46
"411130 Itaúna do Sul";2
"411140 Ivaí";9
"411150 Ivaiporã";27
"411155 Ivaté";3
"411160 Ivatuba";3
"411170 Jaboti";1
"411180 Jacarezinho";58
"411190 Jaguapitã";7
"411200 Jaguariaíva";19
"411210 Jandaia do Sul";25
"411220 Janiópolis";6
"411230 Japira";2
"411240 Japurá";6
"411250 Jardim Alegre";11
"411260 Jardim Olinda";1
"411270 Jataizinho";3
"411275 Jesuítas";10
"411280 Joaquim Távora";4
"411290 Jundiaí do Sul";1
"411295 Juranda";12
"411300 Jussara";2
"411310 Kaloré";5
"411320 Lapa";99
"411325 Laranjal";6
"411330 Laranjeiras do Sul";32
"411340 Leópolis";13
"411345 Lindoeste";7
"411350 Loanda";7
"411360 Lobato";7
"411370 Londrina";360
"411373 Luiziana";14
"411375 Lunardelli";1
"411390 Mallet";12
"411400 Mamborê";15
"411410 Mandaguaçu";21
"411420 Mandaguari";38
"411430 Mandirituba";27
"411435 Manfrinópolis";2
"411440 Mangueirinha";22
"411450 Manoel Ribas";7
"411460 Marechal Cândido Rondon";44
"411470 Maria Helena";4
"411480 Marialva";40
"411490 Marilândia do Sul";16
"411500 Marilena";2
"411510 Mariluz";10
"411520 Maringá";323
"411530 Mariópolis";5
"411535 Maripá";3
"411540 Marmeleiro";13
"411545 Marquinho";6
"411550 Marumbi";6
"411560 Matelândia";7
"411570 Matinhos";19
"411573 Mato Rico";2
"411575 Mauá da Serra";18
"411580 Medianeira";18
"411585 Mercedes";3
"411605 Missal";1
"411610 Moreira Sales";10
"411620 Morretes";8
"411630 Munhoz de Melo";5
"411640 Nossa Senhora das Graças";5
"411650 Nova Aliança do Ivaí";1
"411660 Nova América da Colina";4
"411670 Nova Aurora";9
"411680 Nova Cantu";14
"411690 Nova Esperança";14
"411695 Nova Esperança do Sudoeste";3
"411700 Nova Fátima";10
"411705 Nova Laranjeiras";11
"411710 Nova Londrina";8
"411720 Nova Olímpia";10
"411725 Nova Prata do Iguaçu";6
"411721 Nova Santa Bárbara";6
"411722 Nova Santa Rosa";6
"411727 Nova Tebas";9
"411729 Novo Itacolomi";4
"411730 Ortigueira";17
"411740 Ourizona";3
"411745 Ouro Verde do Oeste";3
"411750 Paiçandu";48
"411760 Palmas";113
"411770 Palmeira";47
"411780 Palmital";18
"411790 Palotina";26
"411800 Paraíso do Norte";3
"411810 Paranacity";9
"411820 Paranaguá";90
"411840 Paranavaí";53
"411845 Pato Bragado";1
"411850 Pato Branco";192
"411860 Paula Freitas";8
"411870 Paulo Frontin";3
"411880 Peabiru";12
"411885 Perobal";6
"411890 Pérola";16
"411910 Piên";56
"411915 Pinhais";145
"411925 Pinhal de São Bento";2
"411920 Pinhalão";10
"411930 Pinhão";40
"411940 Piraí do Sul";28
"411950 Piraquara";118
"411960 Pitanga";66
"411965 Pitangueiras";3
"411970 Planaltina do Paraná";3
"411980 Planalto";6
"411990 Ponta Grossa";224
"411995 Pontal do Paraná";10
"412000 Porecatu";4
"412010 Porto Amazonas";8
"412015 Porto Barreiro";2
"412030 Porto Vitória";15
"412035 Pranchita";4
"412040 Presidente Castelo Branco";7
"412050 Primeiro de Maio";8
"412060 Prudentópolis";47
"412065 Quarto Centenário";2
"412070 Quatiguá";1
"412080 Quatro Barras";42
"412085 Quatro Pontes";3
"412090 Quedas do Iguaçu";27
"412100 Querência do Norte";4
"412110 Quinta do Sol";8
"412120 Quitandinha";30
"412125 Ramilândia";3
"412130 Rancho Alegre";4
"412135 Rancho Alegre D'Oeste";1
"412140 Realeza";8
"412150 Rebouças";12
"412160 Renascença";5
"412170 Reserva";11
"412175 Reserva do Iguaçu";4
"412180 Ribeirão Claro";5
"412190 Ribeirão do Pinhal";5
"412200 Rio Azul";9
"412210 Rio Bom";5
"412215 Rio Bonito do Iguaçu";15
"412217 Rio Branco do Ivaí";1
"412220 Rio Branco do Sul";45
"412230 Rio Negro";13
"412240 Rolândia";48
"412250 Roncador";14
"412260 Rondon";9
"412265 Rosário do Ivaí";2
"412270 Sabáudia";15
"412280 Salgado Filho";3
"412300 Salto do Lontra";8
"412310 Santa Amélia";1
"412320 Santa Cecília do Pavão";5
"412330 Santa Cruz de Monte Castelo";1
"412340 Santa Fé";8
"412350 Santa Helena";7
"412360 Santa Inês";2
"412370 Santa Isabel do Ivaí";5
"412380 Santa Izabel do Oeste";6
"412382 Santa Lúcia";2
"412385 Santa Maria do Oeste";9
"412390 Santa Mariana";14
"412395 Santa Mônica";5
"412402 Santa Tereza do Oeste";16
"412405 Santa Terezinha de Itaipu";2
"412400 Santana do Itararé";2
"412410 Santo Antônio da Platina";24
"412430 Santo Antônio do Paraíso";4
"412440 Santo Antônio do Sudoeste";5
"412450 Santo Inácio";5
"412460 São Carlos do Ivaí";1
"412470 São Jerônimo da Serra";22
"412480 São João";4
"412490 São João do Caiuá";7
"412500 São João do Ivaí";12
"412510 São João do Triunfo";6
"412520 São Jorge d'Oeste";5
"412530 São Jorge do Ivaí";7
"412535 São Jorge do Patrocínio";1
"412540 São José da Boa Vista";4
"412545 São José das Palmeiras";4
"412550 São José dos Pinhais";178
"412555 São Manoel do Paraná";1
"412560 São Mateus do Sul";40
"412570 São Miguel do Iguaçu";6
"412575 São Pedro do Iguaçu";6
"412580 São Pedro do Ivaí";11
"412600 São Sebastião da Amoreira";13
"412610 São Tomé";1
"412620 Sapopema";6
"412625 Sarandi";294
"412630 Sengés";9
"412635 Serranópolis do Iguaçu";4
"412640 Sertaneja";6
"412650 Sertanópolis";12
"412660 Siqueira Campos";12
"412665 Sulina";1
"412667 Tamarana";5
"412680 Tapejara";7
"412690 Tapira";2
"412700 Teixeira Soares";7
"412710 Telêmaco Borba";114
"412720 Terra Boa";21
"412730 Terra Rica";6
"412740 Terra Roxa";8
"412750 Tibagi";11
"412760 Tijucas do Sul";15
"412770 Toledo";123
"412780 Tomazina";3
"412785 Três Barras do Paraná";10
"412788 Tunas do Paraná";7
"412790 Tuneiras do Oeste";11
"412795 Tupãssi";4
"412796 Turvo";19
"412800 Ubiratã";45
"412810 Umuarama";161
"412820 União da Vitória";116
"412830 Uniflor";4
"412840 Uraí";11
"412853 Ventania";13
"412855 Vera Cruz do Oeste";12
"412860 Verê";2
"412865 Virmond";1
"412870 Vitorino";14
"412850 Wenceslau Braz";19
"412880 Xambrê";7
"420005 Abdon Batista";2
"420010 Abelardo Luz";16
"420020 Agrolândia";3
"420030 Agronômica";1
"420040 Água Doce";3
"420050 Águas de Chapecó";3
"420055 Águas Frias";1
"420060 Águas Mornas";1
"420070 Alfredo Wagner";5
"420080 Anchieta";3
"420090 Angelina";1
"420100 Anita Garibaldi";2
"420110 Anitápolis";1
"420120 Antônio Carlos";5
"420125 Apiúna";3
"420127 Arabutã";8
"420130 Araquari";7
"420140 Araranguá";31
"420150 Armazém";15
"420160 Arroio Trinta";1
"420165 Arvoredo";2
"420170 Ascurra";4
"420190 Aurora";2
"420195 Balneário Arroio do Silva";4
"420205 Balneário Barra do Sul";1
"420200 Balneário Camboriú";40
"420207 Balneário Gaivota";13
"421280 Balneário Piçarras";14
"422000 Balneário Rincão";6
"420208 Bandeirante";2
"420210 Barra Velha";14
"420215 Belmonte";1
"420220 Benedito Novo";4
"420230 Biguaçu";29
"420240 Blumenau";150
"420243 Bocaina do Sul";2
"420250 Bom Jardim da Serra";1
"420253 Bom Jesus";1
"420257 Bom Jesus do Oeste";1
"420260 Bom Retiro";11
"420245 Bombinhas";9
"420270 Botuverá";5
"420280 Braço do Norte";13
"420287 Brunópolis";7
"420290 Brusque";48
"420300 Caçador";39
"420310 Caibi";5
"420315 Calmon";6
"420320 Camboriú";32
"420330 Campo Alegre";7
"420340 Campo Belo do Sul";3
"420350 Campo Erê";6
"420360 Campos Novos";10
"420370 Canelinha";3
"420380 Canoinhas";29
"420325 Capão Alto";2
"420390 Capinzal";3
"420395 Capivari de Baixo";16
"420400 Catanduvas";5
"420410 Caxambu do Sul";3
"420417 Cerro Negro";1
"420419 Chapadão do Lageado";3
"420420 Chapecó";103
"420425 Cocal do Sul";7
"420430 Concórdia";49
"420435 Cordilheira Alta";7
"420440 Coronel Freitas";3
"420445 Coronel Martins";3
"420455 Correia Pinto";11
"420450 Corupá";5
"420460 Criciúma";81
"420470 Cunha Porã";7
"420480 Curitibanos";55
"420490 Descanso";5
"420500 Dionísio Cerqueira";4
"420510 Dona Emma";2
"420515 Doutor Pedrinho";2
"420517 Entre Rios";1
"420520 Erval Velho";3
"420530 Faxinal dos Guedes";2
"420540 Florianópolis";146
"420543 Formosa do Sul";3
"420545 Forquilhinha";7
"420550 Fraiburgo";18
"420555 Frei Rogério";3
"420560 Galvão";4
"420570 Garopaba";10
"420580 Garuva";4
"420590 Gaspar";28
"420600 Governador Celso Ramos";5
"420620 Gravatal";6
"420630 Guabiruba";11
"420640 Guaraciaba";2
"420650 Guaramirim";24
"420660 Guarujá do Sul";2
"420665 Guatambú";2
