"Município da residência";"2015";"2016";"2017";" Total"
"355255 SUZANAPOLIS                                                                                         ";"7";"4";"4";"15"
"355260 TABAPUA                                                                                             ";"21";"12";"21";"54"
"355270 TABATINGA                                                                                           ";"21";"15";"18";"54"
"355280 TABOAO DA SERRA                                                                                     ";"190";"186";"172";"548"
"355290 TACIBA                                                                                              ";"6";"8";"14";"28"
"355300 TAGUAI                                                                                              ";"12";"10";"11";"33"
"355310 TAIACU                                                                                              ";"3";"5";"7";"15"
"355320 TAIUVA                                                                                              ";"5";"9";"6";"20"
"355330 TAMBAU                                                                                              ";"19";"23";"22";"64"
"355340 TANABI                                                                                              ";"36";"41";"41";"118"
"355350 TAPIRAI                                                                                             ";"12";"8";"9";"29"
"355360 TAPIRATIBA                                                                                          ";"16";"16";"17";"49"
"355365 TAQUARAL                                                                                            ";"4";"1";"1";"6"
"355370 TAQUARITINGA                                                                                        ";"67";"65";"45";"177"
"355380 TAQUARITUBA                                                                                         ";"34";"30";"16";"80"
"355385 TAQUARIVAI                                                                                          ";"1";"3";"2";"6"
"355390 TARABAI                                                                                             ";"3";"6";"8";"17"
"355395 TARUMA                                                                                              ";"14";"19";"9";"42"
"355400 TATUI                                                                                               ";"132";"99";"125";"356"
"355410 TAUBATE                                                                                             ";"175";"177";"235";"587"
"355420 TEJUPA                                                                                              ";"3";"1";"8";"12"
"355430 TEODORO SAMPAIO                                                                                     ";"23";"36";"22";"81"
"355440 TERRA ROXA                                                                                          ";"9";"9";"14";"32"
"355450 TIETE                                                                                               ";"36";"35";"33";"104"
"355460 TIMBURI                                                                                             ";"2";"5";"6";"13"
"355465 TORRE DE PEDRA                                                                                      ";"9";"11";"6";"26"
"355470 TORRINHA                                                                                            ";"9";"22";"13";"44"
"355475 TRABIJU                                                                                             ";"5";"2";"2";"9"
"355480 TREMEMBE                                                                                            ";"16";"22";"17";"55"
"355490 TRES FRONTEIRAS                                                                                     ";"13";"12";"9";"34"
"355495 TUIUTI                                                                                              ";"9";"6";"17";"32"
"355500 TUPA                                                                                                ";"107";"91";"105";"303"
"355510 TUPI PAULISTA                                                                                       ";"25";"24";"26";"75"
"355520 TURIUBA                                                                                             ";"3";"3";"2";"8"
"355530 TURMALINA                                                                                           ";"2";"4";"6";"12"
"355535 UBARANA                                                                                             ";"14";"12";"8";"34"
"355540 UBATUBA                                                                                             ";"55";"44";"63";"162"
"355550 UBIRAJARA                                                                                           ";"6";"5";"6";"17"
"355560 UCHOA                                                                                               ";"11";"20";"9";"40"
"355570 UNIAO PAULISTA                                                                                      ";"2";"2";"2";"6"
"355580 URANIA                                                                                              ";"11";"8";"19";"38"
"355590 URU                                                                                                 ";"1";"2";"1";"4"
"355600 URUPES                                                                                              ";"21";"22";"14";"57"
"355610 VALENTIM GENTIL                                                                                     ";"6";"18";"18";"42"
"355620 VALINHOS                                                                                            ";"71";"82";"76";"229"
"355630 VALPARAISO                                                                                          ";"27";"34";"28";"89"
"355635 VARGEM                                                                                              ";"7";"13";"7";"27"
"355640 VARGEM GRANDE DO SUL                                                                                ";"47";"30";"40";"117"
"355645 VARGEM GRANDE PAULISTA                                                                              ";"30";"24";"41";"95"
"355650 VARZEA PAULISTA                                                                                     ";"57";"54";"58";"169"
"355660 VERA CRUZ                                                                                           ";"23";"14";"11";"48"
"355670 VINHEDO                                                                                             ";"50";"55";"43";"148"
"355680 VIRADOURO                                                                                           ";"27";"14";"15";"56"
"355690 VISTA ALEGRE DO ALTO                                                                                ";"8";"2";"6";"16"
"355695 VITORIA BRASIL                                                                                      ";"7";"0";"9";"16"
"355700 VOTORANTIM                                                                                          ";"72";"75";"76";"223"
"355710 VOTUPORANGA                                                                                         ";"116";"134";"138";"388"
"355715 ZACARIAS                                                                                            ";"2";"9";"4";"15"
"355720 CHAVANTES                                                                                           ";"12";"16";"10";"38"
"355730 ESTIVA GERBI                                                                                        ";"14";"12";"11";"37"
"410010 ABATIA                                                                                              ";"2";"12";"7";"21"
"410020 ADRIANOPOLIS                                                                                        ";"9";"11";"11";"31"
"410030 AGUDOS DO SUL                                                                                       ";"10";"14";"13";"37"
"410040 ALMIRANTE TAMANDARE                                                                                 ";"91";"98";"109";"298"
"410045 ALTAMIRA DO PARANA                                                                                  ";"7";"5";"4";"16"
"410050 ALTONIA                                                                                             ";"38";"23";"32";"93"
"410060 ALTO PARANA                                                                                         ";"9";"18";"15";"42"
"410070 ALTO PIQUIRI                                                                                        ";"23";"14";"8";"45"
"410080 ALVORADA DO SUL                                                                                     ";"10";"8";"11";"29"
"410090 AMAPORA                                                                                             ";"12";"6";"11";"29"
"410100 AMPERE                                                                                              ";"31";"26";"24";"81"
"410105 ANAHY                                                                                               ";"5";"5";"3";"13"
"410110 ANDIRA                                                                                              ";"22";"26";"22";"70"
"410115 ANGULO                                                                                              ";"4";"3";"2";"9"
"410120 ANTONINA                                                                                            ";"27";"28";"21";"76"
"410130 ANTONIO OLINTO                                                                                      ";"12";"17";"12";"41"
"410140 APUCARANA                                                                                           ";"130";"143";"142";"415"
"410150 ARAPONGAS                                                                                           ";"149";"184";"165";"498"
"410160 ARAPOTI                                                                                             ";"23";"28";"28";"79"
"410165 ARAPUA                                                                                              ";"7";"5";"5";"17"
"410170 ARARUNA                                                                                             ";"10";"15";"21";"46"
"410180 ARAUCARIA                                                                                           ";"125";"128";"152";"405"
"410185 ARIRANHA DO IVAI                                                                                    ";"2";"2";"1";"5"
"410190 ASSAI                                                                                               ";"12";"21";"17";"50"
"410200 ASSIS CHATEAUBRIAND                                                                                 ";"53";"48";"69";"170"
"410210 ASTORGA                                                                                             ";"41";"31";"40";"112"
"410220 ATALAIA                                                                                             ";"4";"6";"6";"16"
"410230 BALSA NOVA                                                                                          ";"24";"15";"31";"70"
"410240 BANDEIRANTES                                                                                        ";"41";"38";"33";"112"
"410250 BARBOSA FERRAZ                                                                                      ";"12";"8";"10";"30"
"410260 BARRACAO                                                                                            ";"31";"65";"98";"194"
"410270 BARRA DO JACARE                                                                                     ";"3";"2";"5";"10"
"410275 BELA VISTA DA CAROBA                                                                                ";"11";"12";"11";"34"
"410280 BELA VISTA DO PARAISO                                                                               ";"16";"19";"31";"66"
"410290 BITURUNA                                                                                            ";"9";"7";"15";"31"
"410300 BOA ESPERANCA                                                                                       ";"9";"11";"9";"29"
"410302 BOA ESPERANCA DO IGUACU                                                                             ";"8";"0";"4";"12"
"410304 BOA VENTURA DE SAO ROQUE                                                                            ";"7";"8";"13";"28"
"410305 BOA VISTA DA APARECIDA                                                                              ";"21";"22";"16";"59"
"410310 BOCAIUVA DO SUL                                                                                     ";"1";"9";"9";"19"
"410315 BOM JESUS DO SUL                                                                                    ";"8";"7";"6";"21"
"410320 BOM SUCESSO                                                                                         ";"6";"9";"12";"27"
"410322 BOM SUCESSO DO SUL                                                                                  ";"8";"4";"6";"18"
"410330 BORRAZOPOLIS                                                                                        ";"14";"9";"11";"34"
"410335 BRAGANEY                                                                                            ";"3";"2";"18";"23"
"410337 BRASILANDIA DO SUL                                                                                  ";"6";"5";"2";"13"
"410340 CAFEARA                                                                                             ";"2";"3";"1";"6"
"410345 CAFELANDIA                                                                                          ";"14";"14";"20";"48"
"410347 CAFEZAL DO SUL                                                                                      ";"12";"4";"4";"20"
"410350 CALIFORNIA                                                                                          ";"13";"10";"10";"33"
"410360 CAMBARA                                                                                             ";"33";"28";"27";"88"
"410370 CAMBE                                                                                               ";"129";"127";"153";"409"
"410380 CAMBIRA                                                                                             ";"5";"12";"11";"28"
"410390 CAMPINA DA LAGOA                                                                                    ";"26";"25";"19";"70"
"410395 CAMPINA DO SIMAO                                                                                    ";"2";"4";"5";"11"
"410400 CAMPINA GRANDE DO SUL                                                                               ";"133";"118";"113";"364"
"410405 CAMPO BONITO                                                                                        ";"11";"13";"15";"39"
"410410 CAMPO DO TENENTE                                                                                    ";"7";"11";"6";"24"
"410420 CAMPO LARGO                                                                                         ";"121";"151";"184";"456"
"410425 CAMPO MAGRO                                                                                         ";"20";"18";"22";"60"
"410430 CAMPO MOURAO                                                                                        ";"128";"156";"113";"397"
"410440 CANDIDO DE ABREU                                                                                    ";"11";"17";"21";"49"
"410442 CANDOI                                                                                              ";"13";"12";"16";"41"
"410445 CANTAGALO                                                                                           ";"23";"13";"20";"56"
"410450 CAPANEMA                                                                                            ";"27";"32";"39";"98"
"410460 CAPITAO LEONIDAS MARQUES                                                                            ";"22";"30";"28";"80"
"410465 CARAMBEI                                                                                            ";"16";"17";"18";"51"
"410470 CARLOPOLIS                                                                                          ";"13";"14";"20";"47"
"410480 CASCAVEL                                                                                            ";"588";"594";"537";"1719"
"410490 CASTRO                                                                                              ";"65";"69";"79";"213"
"410500 CATANDUVAS                                                                                          ";"13";"15";"15";"43"
"410510 CENTENARIO DO SUL                                                                                   ";"16";"15";"19";"50"
"410520 CERRO AZUL                                                                                          ";"24";"15";"14";"53"
"410530 CEU AZUL                                                                                            ";"30";"14";"17";"61"
"410540 CHOPINZINHO                                                                                         ";"21";"36";"39";"96"
"410550 CIANORTE                                                                                            ";"91";"109";"92";"292"
"410560 CIDADE GAUCHA                                                                                       ";"7";"8";"15";"30"
"410570 CLEVELANDIA                                                                                         ";"16";"20";"27";"63"
"410580 COLOMBO                                                                                             ";"249";"247";"273";"769"
"410590 COLORADO                                                                                            ";"31";"43";"21";"95"
"410600 CONGONHINHAS                                                                                        ";"4";"6";"9";"19"
"410610 CONSELHEIRO MAIRINCK                                                                                ";"2";"2";"3";"7"
"410620 CONTENDA                                                                                            ";"27";"27";"25";"79"
"410630 CORBELIA                                                                                            ";"19";"33";"35";"87"
"410640 CORNELIO PROCOPIO                                                                                   ";"61";"46";"54";"161"
"410645 CORONEL DOMINGOS SOARES                                                                             ";"3";"5";"9";"17"
"410650 CORONEL VIVIDA                                                                                      ";"32";"40";"43";"115"
"410655 CORUMBATAI DO SUL                                                                                   ";"4";"2";"4";"10"
"410657 CRUZEIRO DO IGUACU                                                                                  ";"8";"2";"8";"18"
"410660 CRUZEIRO DO OESTE                                                                                   ";"35";"26";"31";"92"
"410670 CRUZEIRO DO SUL                                                                                     ";"4";"3";"3";"10"
"410680 CRUZ MACHADO                                                                                        ";"27";"28";"22";"77"
"410685 CRUZMALTINA                                                                                         ";"3";"2";"8";"13"
"410690 CURITIBA                                                                                            ";"1835";"1930";"1884";"5649"
"410700 CURIUVA                                                                                             ";"6";"16";"9";"31"
"410710 DIAMANTE DO NORTE                                                                                   ";"10";"5";"6";"21"
"410712 DIAMANTE DO SUL                                                                                     ";"5";"2";"1";"8"
"410715 DIAMANTE D\'OESTE                                                                                    ";"8";"13";"12";"33"
"410720 DOIS VIZINHOS                                                                                       ";"65";"48";"43";"156"
"410725 DOURADINA                                                                                           ";"5";"9";"10";"24"
"410730 DOUTOR CAMARGO                                                                                      ";"6";"8";"8";"22"
"410740 ENEAS MARQUES                                                                                       ";"13";"10";"10";"33"
"410750 ENGENHEIRO BELTRAO                                                                                  ";"25";"16";"33";"74"
"410752 ESPERANCA NOVA                                                                                      ";"4";"8";"5";"17"
"410753 ENTRE RIOS DO OESTE                                                                                 ";"10";"11";"5";"26"
"410754 ESPIGAO ALTO DO IGUACU                                                                              ";"5";"4";"14";"23"
"410755 FAROL                                                                                               ";"2";"6";"2";"10"
"410760 FAXINAL                                                                                             ";"15";"10";"19";"44"
"410765 FAZENDA RIO GRANDE                                                                                  ";"66";"111";"76";"253"
"410770 FENIX                                                                                               ";"11";"6";"4";"21"
"410773 FERNANDES PINHEIRO                                                                                  ";"6";"6";"9";"21"
"410775 FIGUEIRA                                                                                            ";"11";"10";"7";"28"
"410780 FLORAI                                                                                              ";"8";"9";"10";"27"
"410785 FLOR DA SERRA DO SUL                                                                                ";"3";"9";"9";"21"
"410790 FLORESTA                                                                                            ";"10";"4";"8";"22"
"410800 FLORESTOPOLIS                                                                                       ";"21";"21";"14";"56"
"410810 FLORIDA                                                                                             ";"4";"1";"4";"9"
"410820 FORMOSA DO OESTE                                                                                    ";"15";"13";"22";"50"
"410830 FOZ DO IGUACU                                                                                       ";"336";"376";"362";"1074"
"410832 FRANCISCO ALVES                                                                                     ";"14";"10";"12";"36"
"410840 FRANCISCO BELTRAO                                                                                   ";"99";"133";"171";"403"
"410845 FOZ DO JORDAO                                                                                       ";"7";"5";"7";"19"
"410850 GENERAL CARNEIRO                                                                                    ";"17";"11";"12";"40"
"410855 GODOY MOREIRA                                                                                       ";"3";"4";"6";"13"
"410860 GOIOERE                                                                                             ";"46";"46";"45";"137"
"410865 GOIOXIM                                                                                             ";"3";"5";"4";"12"
"410870 GRANDES RIOS                                                                                        ";"4";"4";"3";"11"
"410880 GUAIRA                                                                                              ";"45";"55";"49";"149"
"410890 GUAIRACA                                                                                            ";"7";"8";"6";"21"
"410895 GUAMIRANGA                                                                                          ";"9";"10";"15";"34"
"410900 GUAPIRAMA                                                                                           ";"3";"5";"11";"19"
"410910 GUAPOREMA                                                                                           ";"3";"2";"0";"5"
"410920 GUARACI                                                                                             ";"13";"8";"12";"33"
"410930 GUARANIACU                                                                                          ";"25";"27";"26";"78"
"410940 GUARAPUAVA                                                                                          ";"228";"243";"212";"683"
"410950 GUARAQUECABA                                                                                        ";"1";"10";"8";"19"
"410960 GUARATUBA                                                                                           ";"38";"43";"42";"123"
"410965 HONORIO SERPA                                                                                       ";"7";"7";"6";"20"
"410970 IBAITI                                                                                              ";"31";"29";"27";"87"
"410975 IBEMA                                                                                               ";"8";"8";"12";"28"
"410980 IBIPORA                                                                                             ";"48";"60";"72";"180"
"410990 ICARAIMA                                                                                            ";"9";"10";"14";"33"
"411000 IGUARACU                                                                                            ";"3";"3";"5";"11"
"411005 IGUATU                                                                                              ";"2";"5";"3";"10"
"411007 IMBAU                                                                                               ";"10";"10";"15";"35"
"411010 IMBITUVA                                                                                            ";"37";"42";"40";"119"
"411020 INACIO MARTINS                                                                                      ";"8";"17";"4";"29"
"411030 INAJA                                                                                               ";"6";"11";"2";"19"
"411040 INDIANOPOLIS                                                                                        ";"1";"9";"11";"21"
"411050 IPIRANGA                                                                                            ";"9";"20";"11";"40"
"411060 IPORA                                                                                               ";"41";"25";"15";"81"
"411065 IRACEMA DO OESTE                                                                                    ";"3";"4";"5";"12"
"411070 IRATI                                                                                               ";"55";"68";"53";"176"
"411080 IRETAMA                                                                                             ";"18";"16";"13";"47"
"411090 ITAGUAJE                                                                                            ";"1";"4";"8";"13"
"411095 ITAIPULANDIA                                                                                        ";"10";"15";"25";"50"
"411100 ITAMBARACA                                                                                          ";"11";"14";"6";"31"
"411110 ITAMBE                                                                                              ";"5";"11";"7";"23"
"411120 ITAPEJARA D\'OESTE                                                                                   ";"12";"21";"12";"45"
"411125 ITAPERUCU                                                                                           ";"22";"22";"22";"66"
"411130 ITAUNA DO SUL                                                                                       ";"4";"5";"5";"14"
"411140 IVAI                                                                                                ";"16";"11";"17";"44"
"411150 IVAIPORA                                                                                            ";"39";"40";"34";"113"
"411155 IVATE                                                                                               ";"8";"10";"12";"30"
"411160 IVATUBA                                                                                             ";"1";"3";"2";"6"
"411170 JABOTI                                                                                              ";"8";"5";"5";"18"
"411180 JACAREZINHO                                                                                         ";"52";"33";"44";"129"
"411190 JAGUAPITA                                                                                           ";"8";"15";"16";"39"
"411200 JAGUARIAIVA                                                                                         ";"20";"28";"24";"72"
"411210 JANDAIA DO SUL                                                                                      ";"32";"31";"31";"94"
"411220 JANIOPOLIS                                                                                          ";"15";"10";"9";"34"
"411230 JAPIRA                                                                                              ";"4";"2";"3";"9"
"411240 JAPURA                                                                                              ";"14";"11";"14";"39"
"411250 JARDIM ALEGRE                                                                                       ";"12";"14";"8";"34"
"411260 JARDIM OLINDA                                                                                       ";"3";"2";"0";"5"
"411270 JATAIZINHO                                                                                          ";"18";"13";"13";"44"
"411275 JESUITAS                                                                                            ";"13";"20";"32";"65"
"411280 JOAQUIM TAVORA                                                                                      ";"10";"7";"15";"32"
"411290 JUNDIAI DO SUL                                                                                      ";"1";"4";"2";"7"
"411295 JURANDA                                                                                             ";"10";"14";"15";"39"
"411300 JUSSARA                                                                                             ";"8";"7";"17";"32"
"411310 KALORE                                                                                              ";"2";"8";"2";"12"
"411320 LAPA                                                                                                ";"47";"63";"64";"174"
"411325 LARANJAL                                                                                            ";"4";"4";"4";"12"
"411330 LARANJEIRAS DO SUL                                                                                  ";"44";"38";"38";"120"
"411340 LEOPOLIS                                                                                            ";"7";"6";"4";"17"
"411342 LIDIANOPOLIS                                                                                        ";"5";"6";"5";"16"
"411345 LINDOESTE                                                                                           ";"12";"19";"11";"42"
"411350 LOANDA                                                                                              ";"26";"21";"17";"64"
"411360 LOBATO                                                                                              ";"7";"8";"8";"23"
"411370 LONDRINA                                                                                            ";"531";"597";"628";"1756"
"411373 LUIZIANA                                                                                            ";"7";"9";"6";"22"
"411375 LUNARDELLI                                                                                          ";"1";"8";"6";"15"
"411380 LUPIONOPOLIS                                                                                        ";"7";"7";"4";"18"
"411390 MALLET                                                                                              ";"21";"22";"12";"55"
"411400 MAMBORE                                                                                             ";"19";"28";"23";"70"
"411410 MANDAGUACU                                                                                          ";"16";"17";"9";"42"
"411420 MANDAGUARI                                                                                          ";"36";"49";"37";"122"
"411430 MANDIRITUBA                                                                                         ";"27";"31";"30";"88"
"411435 MANFRINOPOLIS                                                                                       ";"2";"8";"7";"17"
"411440 MANGUEIRINHA                                                                                        ";"12";"16";"12";"40"
"411450 MANOEL RIBAS                                                                                        ";"15";"15";"9";"39"
"411460 MARECHAL CANDIDO RONDON                                                                             ";"62";"81";"73";"216"
"411470 MARIA HELENA                                                                                        ";"5";"13";"6";"24"
"411480 MARIALVA                                                                                            ";"36";"49";"45";"130"
"411490 MARILANDIA DO SUL                                                                                   ";"14";"13";"15";"42"
"411500 MARILENA                                                                                            ";"8";"19";"13";"40"
"411510 MARILUZ                                                                                             ";"18";"17";"9";"44"
"411520 MARINGA                                                                                             ";"445";"492";"531";"1468"
"411530 MARIOPOLIS                                                                                          ";"7";"10";"6";"23"
"411535 MARIPA                                                                                              ";"14";"10";"16";"40"
"411540 MARMELEIRO                                                                                          ";"13";"23";"19";"55"
"411545 MARQUINHO                                                                                           ";"8";"4";"3";"15"
"411550 MARUMBI                                                                                             ";"4";"6";"9";"19"
"411560 MATELANDIA                                                                                          ";"38";"32";"29";"99"
"411570 MATINHOS                                                                                            ";"33";"41";"47";"121"
"411573 MATO RICO                                                                                           ";"4";"7";"2";"13"
"411575 MAUA DA SERRA                                                                                       ";"6";"11";"7";"24"
"411580 MEDIANEIRA                                                                                          ";"52";"82";"42";"176"
"411585 MERCEDES                                                                                            ";"20";"13";"16";"49"
"411590 MIRADOR                                                                                             ";"2";"7";"3";"12"
"411600 MIRASELVA                                                                                           ";"6";"1";"6";"13"
"411605 MISSAL                                                                                              ";"16";"30";"27";"73"
"411610 MOREIRA SALES                                                                                       ";"16";"24";"21";"61"
"411620 MORRETES                                                                                            ";"24";"20";"17";"61"
"411630 MUNHOZ DE MELO                                                                                      ";"8";"4";"4";"16"
"411640 NOSSA SENHORA DAS GRACAS                                                                            ";"6";"6";"6";"18"
"411650 NOVA ALIANCA DO IVAI                                                                                ";"0";"2";"4";"6"
"411660 NOVA AMERICA DA COLINA                                                                              ";"1";"5";"2";"8"
"411670 NOVA AURORA                                                                                         ";"20";"20";"21";"61"
"411680 NOVA CANTU                                                                                          ";"5";"9";"8";"22"
"411690 NOVA ESPERANCA                                                                                      ";"23";"23";"27";"73"
"411695 NOVA ESPERANCA DO SUDOESTE                                                                          ";"12";"11";"7";"30"
"411700 NOVA FATIMA                                                                                         ";"8";"8";"8";"24"
"411705 NOVA LARANJEIRAS                                                                                    ";"7";"10";"11";"28"
"411710 NOVA LONDRINA                                                                                       ";"10";"14";"11";"35"
"411720 NOVA OLIMPIA                                                                                        ";"3";"11";"8";"22"
"411721 NOVA SANTA BARBARA                                                                                  ";"5";"2";"7";"14"
"411722 NOVA SANTA ROSA                                                                                     ";"15";"10";"23";"48"
"411725 NOVA PRATA DO IGUACU                                                                                ";"13";"28";"18";"59"
"411727 NOVA TEBAS                                                                                          ";"8";"7";"3";"18"
"411729 NOVO ITACOLOMI                                                                                      ";"4";"5";"7";"16"
"411730 ORTIGUEIRA                                                                                          ";"16";"18";"17";"51"
"411740 OURIZONA                                                                                            ";"2";"3";"4";"9"
"411745 OURO VERDE DO OESTE                                                                                 ";"12";"5";"6";"23"
"411750 PAICANDU                                                                                            ";"27";"44";"57";"128"
"411760 PALMAS                                                                                              ";"36";"36";"50";"122"
"411770 PALMEIRA                                                                                            ";"33";"32";"34";"99"
"411780 PALMITAL                                                                                            ";"12";"16";"11";"39"
"411790 PALOTINA                                                                                            ";"42";"55";"46";"143"
"411800 PARAISO DO NORTE                                                                                    ";"10";"17";"15";"42"
"411810 PARANACITY                                                                                          ";"12";"7";"15";"34"
"411820 PARANAGUA                                                                                           ";"115";"146";"129";"390"
"411830 PARANAPOEMA                                                                                         ";"0";"3";"1";"4"
"411840 PARANAVAI                                                                                           ";"100";"110";"92";"302"
"411845 PATO BRAGADO                                                                                        ";"11";"12";"14";"37"
"411850 PATO BRANCO                                                                                         ";"118";"130";"101";"349"
"411860 PAULA FREITAS                                                                                       ";"5";"12";"6";"23"
"411870 PAULO FRONTIN                                                                                       ";"15";"16";"19";"50"
"411880 PEABIRU                                                                                             ";"14";"11";"11";"36"
"411885 PEROBAL                                                                                             ";"11";"13";"9";"33"
"411890 PEROLA                                                                                              ";"15";"15";"29";"59"
"411900 PEROLA D\'OESTE                                                                                      ";"11";"8";"17";"36"
"411910 PIEN                                                                                                ";"19";"24";"17";"60"
"411915 PINHAIS                                                                                             ";"129";"156";"134";"419"
"411920 PINHALAO                                                                                            ";"4";"3";"4";"11"
"411925 PINHAL DE SAO BENTO                                                                                 ";"1";"7";"4";"12"
"411930 PINHAO                                                                                              ";"29";"21";"30";"80"
"411940 PIRAI DO SUL                                                                                        ";"24";"19";"28";"71"
"411950 PIRAQUARA                                                                                           ";"75";"96";"119";"290"
"411960 PITANGA                                                                                             ";"33";"35";"28";"96"
"411965 PITANGUEIRAS                                                                                        ";"6";"5";"6";"17"
"411970 PLANALTINA DO PARANA                                                                                ";"1";"7";"7";"15"
"411980 PLANALTO                                                                                            ";"32";"21";"26";"79"
"411990 PONTA GROSSA                                                                                        ";"342";"355";"355";"1052"
"411995 PONTAL DO PARANA                                                                                    ";"31";"43";"33";"107"
"412000 PORECATU                                                                                            ";"16";"13";"11";"40"
"412010 PORTO AMAZONAS                                                                                      ";"2";"2";"4";"8"
"412015 PORTO BARREIRO                                                                                      ";"8";"12";"6";"26"
"412020 PORTO RICO                                                                                          ";"2";"2";"0";"4"
"412030 PORTO VITORIA                                                                                       ";"3";"6";"3";"12"
"412033 PRADO FERREIRA                                                                                      ";"2";"3";"5";"10"
"412035 PRANCHITA                                                                                           ";"20";"7";"14";"41"
"412040 PRESIDENTE CASTELO BRANCO                                                                           ";"1";"3";"5";"9"
"412050 PRIMEIRO DE MAIO                                                                                    ";"13";"19";"19";"51"
"412060 PRUDENTOPOLIS                                                                                       ";"63";"73";"70";"206"
"412065 QUARTO CENTENARIO                                                                                   ";"12";"12";"2";"26"
"412070 QUATIGUA                                                                                            ";"6";"19";"5";"30"
"412080 QUATRO BARRAS                                                                                       ";"32";"20";"43";"95"
