,CID10,Count,DESCR
4057,T174,59,T17.4 Corpo estranho na traqueia
4058,N891,59,N89.1 Displasia vaginal moderada
4059,M128,59,M12.8 Outr artropatias especificas NCOP
4060,G553,59,G55.3 Compressoes raizes plexos nerv outr dorsopat
4061,D372,59,D37.2 Intestino delgado
4062,J182,59,J18.2 Pneumonia hipostatica NE
4063,J860,58,J86.0 Piotorax c/fistula
4064,H027,58,H02.7 Outr transt degener palpebra area periocular
4065,F206,58,F20.6 Esquizofrenia simples
4066,K117,58,K11.7 Alteracoes da secrecao salivar
4067,K056,58,K05.6 Doenc periodontal SOE
4068,K048,58,K04.8 Cisto radicular
4069,M638,58,M63.8 Outr transt musculares em doenc COP
4070,M122,58,M12.2 Sinovite vilonodular
4071,N311,58,N31.1 Bexiga neuropatica reflexa NCOP
4072,F259,58,F25.9 Transt esquizoafetivo NE
4073,E236,58,E23.6 Outr transt da hipofise
4074,O035,58,O03.5 Compl ou NE complic inf trato gen org pelvic
4075,Z131,58,Z13.1 Exame especial rastr de diabetes mellitus
4076,K068,58,K06.8 Outr transt espec geng rebord alveol s/dent
4077,S131,58,S13.1 Luxacao de vertebra cervical
4078,T233,58,T23.3 Queim de 3.grau do punho e da mao
4079,C574,58,C57.4 Anexos uterinos
4080,C788,58,C78.8 Neopl malig secund outr org digestivos e NE
4081,C637,58,C63.7 Outr orgaos genitais masc espec
4082,Z542,58,Z54.2 Convalescenca apos quimioterapia
4083,N836,58,N83.6 Hematossalpinge
4084,T874,58,T87.4 Infecc de coto da amput
4085,L304,58,L30.4 Intertrigo eritematoso
4086,T935,58,T93.5 Sequelas traum musculo tendao membro infer
4087,Q878,58,Q87.8 Outr sindr c/malformacoes congen espec NCOP
4088,Y69,58,Y69   Acid NE durante prest cuidado medic cirurg
4089,T118,58,T11.8 Outr traum espec do membro super nivel NE
4090,D385,58,D38.5 Outr orgaos respirat
4091,L601,58,L60.1 Onicolise
4092,N512,58,N51.2 Balanite em doenc COP
4093,D839,58,D83.9 Imunodeficiencia comum variavel NE
4094,D683,58,D68.3 Transt hemorragico dev anticoag circulantes
4095,E065,57,E06.5 Outr tireoidites cronicas
4096,N735,57,N73.5 Pelviperitonite NE femin
4097,S780,57,S78.0 Amput traum na articulacao do quadril
4098,T858,57,T85.8 Outr complic disp prot impl enx int NCOP
4099,P619,57,P61.9 Transt hematologico perinatal NE
4100,K614,57,K61.4 Abscesso intra-esfincteriano
4101,V499,57,V49.9 Ocupante acid trans NE
4102,D750,57,D75.0 Eritrocitose familiar
4103,K312,57,K31.2 Estenose e estreitamento ampulheta estomago
4104,G000,57,G00.0 Meningite p/Haemophilus
4105,E051,57,E05.1 Tireotoxicose c/bocio toxico uninodular
4106,F149,57,F14.9 Transt mental ou comport NE
4107,O900,57,O90.0 Ruptura da incisao de cesariana
4108,E343,57,E34.3 Nanismo NCOP
4109,M718,57,M71.8 Outr bursopatias espec
4110,P288,57,P28.8 Outr afeccoes respirat espec do recem-nasc
4111,D463,57,D46.3 Anemia refrataria c/excesso blastos c/transf
4112,Q259,57,Q25.9 Malformacao congen NE das grandes arterias
4113,O235,57,O23.5 Infecc do trato genital na gravidez
4114,H309,57,H30.9 Inflam NE da coroide e da retina
4115,L906,57,L90.6 Estrias atroficas
4116,R031,57,R03.1 Valor baixo pressao arterial nao especifico
4117,L048,57,L04.8 Linfadenite aguda de outr localiz
4118,I062,57,I06.2 Estenose aortica reumatica c/insuf
4119,S640,57,S64.0 Traum do nervo cubital ao nivel punho e mao
4120,K414,57,K41.4 Hernia femoral unilateral ou NE c/gangrena
4121,M804,57,M80.4 Osteoporose induz p/drogas c/frat patologica
4122,J940,57,J94.0 Derrame quiloso ou quiliforme
4123,Q430,57,Q43.0 Diverticulo de Meckel
4124,N843,56,N84.3 Polipo da vulva
4125,V490,56,V49.0 Condutor colis outr veic NE mot acid n-trans
4126,C009,56,C00.9 Labio NE
4127,V234,56,V23.4 Condutor acid trans
4128,V298,56,V29.8 Motociclista outr acid transp espec
4129,R80,56,R80   Proteinuria isolada
4130,Q442,56,Q44.2 Atresia das vias biliares
4131,K255,56,K25.5 Cronica ou NE c/perfuracao
4132,D694,56,D69.4 Outr trombocitopenia prim
4133,F606,56,F60.6 Personalidade ansiosa
4134,O350,56,O35.0 Assist prest mae malform sist nerv cent feto
4135,D444,56,D44.4 Conduto craniofaringeo
4136,O721,56,O72.1 Outr hemorragias do pos-parto imediato
4137,F203,56,F20.3 Esquizofrenia indiferenciada
4138,Q209,56,Q20.9 Malformacao congen NE camaras e comumic card
4139,T815,56,T81.5 Corp estr acid cav corp ferid oper subs proc
4140,Q245,56,Q24.5 Malformacoes dos vasos coronarios
4141,M708,56,M70.8 Outr transt tec moles relac uso excess press
4142,H193,56,H19.3 Ceratite ceratoconjuntivite outr doenc COP
4143,R008,55,R00.8 Outr anormalidades e NE batimento cardiaco
4144,L931,55,L93.1 Lupus eritematoso cutaneo subagudo
4145,R931,55,R93.1 Achados anorm ex diag imag corac circ coron
4146,Y578,55,Y57.8 Outr drogas e medicamentos
4147,D680,55,D68.0 Doenc de Von Willebrand
4148,C008,55,C00.8 Lesao invasiva do labio
4149,Q383,55,Q38.3 Outr malformacoes congen da lingua
4150,D071,55,D07.1 Vulva
4151,C223,55,C22.3 Angiossarcoma do figado
4152,C543,55,C54.3 Fundo do utero
4153,Q254,55,Q25.4 Outr malformacoes congen da aorta
4154,A082,55,A08.2 Enterite p/adenovirus
4155,O263,55,O26.3 Retencao disp intra-uterino contracept grav
4156,F980,55,F98.0 Enurese orig nao-organica
4157,D042,55,D04.2 Pele da orelha e do conduto auditivo externo
4158,G971,55,G97.1 Outr reacao a puncao espinal e lombar
4159,Q258,55,Q25.8 Outr malformacoes congen grandes arterias
4160,G042,55,G04.2 Meningoencefalite meningomielite bacter NCOP
4161,N168,55,N16.8 Transt renais tubulo-interst outr doenc COP
4162,Q740,55,Q74.0 Out malform cong membr super incl cint escap
4163,B871,55,B87.1 Miiase das feridas
4164,O910,55,O91.0 Infecc do mamilo assoc ao parto
4165,O652,55,O65.2 Obstr trab parto dev contracao estreito sup
4166,O719,55,O71.9 Traum obstetrico NE
4167,S367,55,S36.7 Traum de mult orgaos intra-abdominais
4168,Z598,55,Z59.8 Outr probl relac habitacao e circunst econom
4169,Y446,55,Y44.6 Sangue natural e produtos do sangue
4170,V093,55,V09.3 Acid trans NE
4171,D135,55,D13.5 Vias biliares extra-hepaticas
4172,V879,55,V87.9 Outr acid transp espec envolv veic n-mot
4173,Q311,55,Q31.1 Estenose subglotica congen
4174,D411,55,D41.1 Pelve renal
4175,S136,55,S13.6 Distens entorse artic lig out loc NE pescoco
4176,D442,55,D44.2 Gland paratireoide
4177,Q506,55,Q50.6 Outr malform congen tromp Falopio lig largos
4178,Q851,55,Q85.1 Esclerose tuberosa
4179,P398,55,P39.8 Outr infecc espec proprias periodo perinatal
4180,I632,55,I63.2 Inf cer dev oclusao esten NE art pre-cerebr
4181,C102,54,C10.2 Parede lateral da orofaringe
4182,O668,54,O66.8 Outr form de obstrucao do trab parto espec
4183,L271,54,L27.1 Erupcao cutanea localizada dev drogas medic
4184,I615,54,I61.5 Hemorragia intracerebral intraventricular
4185,D802,54,D80.2 Defic seletiva de imunoglobulina A
4186,H601,54,H60.1 Celulite do ouvido externo
4187,H618,54,H61.8 Outr transt espec do ouvido externo
4188,E271,54,E27.1 Insuf adrenocortical prim
4189,V870,54,V87.0 Colis automovel e veic a motor 2 3 rodas
4190,Q969,54,Q96.9 Sindr de Turner NE
4191,J331,54,J33.1 Degeneracao polipoide do seio paranasal
4192,T800,54,T80.0 Embolia aerea subs infus transf injec terap
4193,C408,54,C40.8 Lesao invasiva ossos/cartilag artic membros
4194,X649,54,X64.9 Local NE
4195,M300,54,M30.0 Poliarterite nodosa
4196,A609,54,A60.9 Infecc anogenital NE p/virus do herpes
4197,F843,54,F84.3 Outr transt desintegrativo da infancia
4198,O468,54,O46.8 Outr form de hemorragia anteparto
4199,G120,54,G12.0 Atrofia muscular espinal infantil tipo I
4200,C723,54,C72.3 Nervo optico
4201,O908,54,O90.8 Outr complic do puerperio NCOP
4202,F061,54,F06.1 Estado catatonico organico
4203,R466,54,R46.6 Inquiet e preocup exageradas c/acont estress
4204,Z966,54,Z96.6 Presenca implantes articulares ortopedicos
4205,T016,54,T01.6 Ferim envolv regi mult membr super membr inf
4206,B372,54,B37.2 Candidiase da pele e das unhas
4207,C403,54,C40.3 Ossos curtos dos membros infer
4208,D168,54,D16.8 Ossos pelvicos sacro e coccix
4209,Q529,54,Q52.9 Malform congen NE dos orgaos genitais femin
4210,B344,53,B34.4 Infecc p/papovavirus NE
4211,R453,53,R45.3 Apatia e desinteresse
4212,I459,53,I45.9 Transt de conducao NE
4213,Z915,53,Z91.5 Historia pessoal de auto agressao
4214,K716,53,K71.6 Doenc hepatica toxica c/hepatite NCOP
4215,W089,53,W08.9 Local NE
4216,W571,53,W57.1 Habitacao coletiva
4217,Z742,53,Z74.2 Necess assist domic nenh pessoa lar
4218,M488,53,M48.8 Outr espondilopatias espec
4219,C432,53,C43.2 Melanoma malig orelha conduto auditiv extern
4220,N498,53,N49.8 Transt inflam outr org genitais masc espec
4221,T908,53,T90.8 Sequelas de outr traum espec da cabeca
4222,C709,53,C70.9 Meninge NE
4223,F010,53,F01.0 Demencia vascular de inicio agudo
4224,A502,53,A50.2 Sifilis congen precoce NE
4225,P38,53,P38   Onfalite recem-nasc c/ou s/hemorragia leve
4226,D151,53,D15.1 Coracao
4227,Q644,53,Q64.4 Malformacao do uraco
4228,I711,53,I71.1 Aneurisma da aorta toracica roto
4229,E214,53,E21.4 Outr transt espec da gland paratireoide
4230,F341,53,F34.1 Distimia
4231,S435,53,S43.5 Entorse e distensao artic acromioclavicular
4232,F981,53,F98.1 Encoprese orig nao-organica
4233,R938,53,R93.8 Achados anorm ex diag imag out estr soma esp
4234,Z098,53,Z09.8 Exame seguim apos outr trat p/outr afeccoes
4235,G310,53,G31.0 Atrofia cerebral circunscrita
4236,D041,53,D04.1 Pele da palpebra incl o canto
4237,I010,53,I01.0 Pericardite reumatica aguda
4238,S025,53,S02.5 Frat de dentes
4239,S290,53,S29.0 Traum de musculo e de tendao nivel toracico
4240,G611,53,G61.1 Neuropatia serica
4241,O849,53,O84.9 Parto mult NE
4242,M954,53,M95.4 Deform adquir do torax e das costelas
4243,W578,53,W57.8 Outr locais espec
4244,C831,53,C83.1 Pequenas celulas clivadas
4245,M484,53,M48.4 Frat de fadiga de vertebra
4246,G630,53,G63.0 Polineuropatia em doenc infecc e parasit COP
4247,F520,53,F52.0 Ausencia ou perda do desejo sexual
4248,L981,53,L98.1 Dermatite facticia
4249,X600,53,X60.0 Residencia
4250,I616,52,I61.6 Hemorragia intracerebral de mult localiz
4251,E237,52,E23.7 Transt NE da hipofise
4252,N343,52,N34.3 Sindr uretral NE
4253,S110,52,S11.0 Ferim envolv a laringe e a traqueia
4254,E103,52,E10.3 C/compl oftalmicas
4255,D035,52,D03.5 Melanoma in situ do tronco
4256,G118,52,G11.8 Outr ataxias hereditarias
4257,N413,52,N41.3 Prostatocistite
4258,G311,52,G31.1 Degeneracao cerebral senil NCOP
4259,G833,52,G83.3 Monoplegia NE
4260,I370,52,I37.0 Estenose da valva pulmonar
4261,C940,52,C94.0 Eritremia e eritroleucemia agudas
4262,D734,52,D73.4 Cisto do baco
4263,K738,52,K73.8 Outr hepatites cronicas NCOP
4264,H058,52,H05.8 Outr transt da orbita
4265,Q999,52,Q99.9 Anomalia cromossomica NE
4266,S070,52,S07.0 Lesao p/esmag da face
4267,P701,52,P70.1 Sindr do filho de mae diabetica
4268,G948,51,G94.8 Outr transt encefalicos espec em doenc COP
4269,D039,51,D03.9 Melanoma in situ NE
4270,M330,51,M33.0 Dermatomiosite juvenil
4271,Z992,51,Z99.2 Dependencia de dialise renal
4272,C927,51,C92.7 Outr leucemias mieloides
4273,C925,51,C92.5 Leucemia mielomonocitica aguda
4274,T842,51,T84.2 Complic mec disp fixacao interna outr ossos
4275,S770,51,S77.0 Lesao p/esmag do quadril
4276,T192,51,T19.2 Corpo estranho na vulva e vagina
4277,L605,51,L60.5 Sindr das unhas amareladas
4278,H833,51,H83.3 Efeitos do ruido sobre o ouvido interno
4279,F984,51,F98.4 Estereotipias motoras
4280,F604,51,F60.4 Personalidade histrionica
4281,B330,51,B33.0 Mialgia epidemica
4282,P580,51,P58.0 Ictericia neonatal dev contusoes
4283,C725,51,C72.5 Outr nervos cranianos e os NE
4284,D420,51,D42.0 Meninges cerebrais
4285,R391,51,R39.1 Outr dificuldades a miccao
4286,A540,51,A54.0 Inf gon tr genit inf s/abs periur/gland aces
4287,A028,51,A02.8 Outr infecc espec p/salmonela
4288,H758,51,H75.8 Outr transt espec ouv med mastoide doenc COP
4289,L108,51,L10.8 Outr form de penfigo
4290,D294,51,D29.4 Escroto
4291,L88,51,L88   Piodermite gangrenosa
4292,T183,51,T18.3 Corpo estranho no intestino delgado
4293,G22,51,G22   Parkinsonismo em doenc COP
4294,Z500,51,Z50.0 Reabilitacao cardiaca
4295,K512,51,K51.2 Proctite ulcerativa
4296,T875,51,T87.5 Necrose do coto da amput
4297,O868,51,O86.8 Outr infecc puerperais espec
4298,E131,51,E13.1 C/cetoacidose
4299,C688,50,C68.8 Lesao invasiva dos orgaos urinarios
4300,J948,50,J94.8 Outr afeccoes pleurais espec
4301,O323,50,O32.3 Assist prest mae apres face mento e fronte
4302,H043,50,H04.3 Inflam aguda e NE dos canais lacrimais
4303,K131,50,K13.1 Mordedura da mucosa das bochechas e labios
4304,G452,50,G45.2 Sindr arterias pre-cerebrais mult bilaterais
4305,F440,50,F44.0 Amnesia dissociativa
4306,D290,50,D29.0 Penis
4307,Q998,50,Q99.8 Outr anomalias cromossomicas espec
4308,A029,50,A02.9 Infecc NE p/salmonela
4309,F400,50,F40.0 Agorafobia
4310,C601,50,C60.1 Glande
4311,J431,50,J43.1 Enfisema panlobular
4312,H261,50,H26.1 Catarata traum
4313,H930,50,H93.0 Transt degenerativos e vasculares do ouvido
4314,H921,50,H92.1 Otorreia
4315,B170,50,B17.0 Infecc Delta aguda de portador de hepatite B
4316,A89,50,A89   Infecc virais NE do sist nervoso central
4317,A260,50,A26.0 Erisipeloide cutaneo
4318,K863,50,K86.3 Pseudocisto do pancreas
4319,R769,50,R76.9 Achado anormal exame imunologico serico NE
4320,Q253,50,Q25.3 Estenose da aorta
4321,F731,50,F73.1 Compr signif comport req vigilancia ou trat
4322,L408,50,L40.8 Outr form de psoriase
4323,B748,50,B74.8 Outr filarioses
4324,X640,50,X64.0 Residencia
4325,W194,50,W19.4 Rua e estrada
4326,H604,49,H60.4 Colesteatoma do ouvido externo
4327,T170,49,T17.0 Corpo estranho no seio nasal
4328,G251,49,G25.1 Tremor induz p/drogas
4329,K821,49,K82.1 Hidropsia da vesicula biliar
4330,S119,49,S11.9 Ferim do pescoco parte NE
4331,T024,49,T02.4 Frat envolv regioes mult ambos membros super
4332,I680,49,I68.0 Angiopatia cerebral amiloidotica
4333,H114,49,H11.4 Outr transt vasculares e cistos conjuntivais
4334,G839,49,G83.9 Sindr paralitica NE
4335,W577,49,W57.7 Fazenda
4336,C469,49,C46.9 Sarcoma de Kaposi NE
4337,C399,49,C39.9 Localiz mal definidas do aparelho respirat
4338,M351,49,M35.1 Outr sindr superpostas
4339,V199,49,V19.9 Ciclista acid trans NE
4340,M243,49,M24.3 Deslocamento e subluxacao patolog artic NCOP
4341,B258,49,B25.8 Outr doenc p/citomegalovirus
4342,K256,49,K25.6 Cronica ou NE c/hemorragia e perfuracao
4343,X610,49,X61.0 Residencia
4344,V293,49,V29.3 Motociclista acid NE n-trans
4345,F106,49,F10.6 Sindr amnesica
4346,D105,49,D10.5 Outr partes da orofaringe
4347,T091,49,T09.1 Ferim do tronco nivel NE
4348,A94,49,A94   Febre viral transm p/artropodes NE
4349,A065,49,A06.5 Abscesso amebiano do pulmao
4350,P209,49,P20.9 Hipoxia intra-uterina NE
4351,P080,49,P08.0 Recem-nascido tamanho excessivamente grande
4352,O318,49,O31.8 Outr complic especificas de gestacao mult
4353,C842,49,C84.2 Linfoma da zona T
4354,T850,49,T85.0 Complic mecanica shunt ventric intracraniano
4355,T928,48,T92.8 Sequelas de outr traum espec do membro super
4356,A91,48,A91   Febre hemorragica dev virus do dengue
4357,L940,48,L94.0 Esclerodermia localizada
4358,H933,48,H93.3 Transt do nervo acustico
4359,F302,48,F30.2 Mania c/sint psicoticos
4360,D695,48,D69.5 Trombocitopenia secund
4361,T793,48,T79.3 Infecc pos-traum de ferim NCOP
4362,D739,48,D73.9 Doenc NE do baco
4363,C915,48,C91.5 Leucemia de celulas T do adulto
4364,Q612,48,Q61.2 Rim policistico tipo adulto
4365,N922,48,N92.2 Menstruacao excessiva na puberdade
4366,D001,48,D00.1 Esofago
4367,T500,48,T50.0 Mineralocorticoides e seus antagonistas
4368,D582,48,D58.2 Outr hemoglobinopatias
4369,I491,48,I49.1 Despolarizacao atrial prematura
4370,D214,48,D21.4 Tec conjuntivo e outr tec moles do abdome
4371,K267,48,K26.7 Cronica s/hemorragia ou perfuracao
4372,G370,48,G37.0 Esclerose difusa
4373,H041,48,H04.1 Outr transt da gland lacrimal
4374,N829,48,N82.9 Fistulas NE do trato genital femin
4375,T001,48,T00.1 Traum super env torax abd part inf dors pelv
4376,K661,48,K66.1 Hemoperitonio
4377,L858,48,L85.8 Outr form de espessamento epidermico
4378,S100,48,S10.0 Contusao da garganta
4379,Q218,48,Q21.8 Outr malformacoes congen septos cardiacos
4380,J986,48,J98.6 Transt do diafragma
4381,O840,48,O84.0 Parto mult todos espontaneos
4382,G98,47,G98   Outr transt do sist nervoso NCOP
4383,D531,47,D53.1 Outr anemias megaloblasticas NCOP
4384,Q100,47,Q10.0 Ptose congen
4385,A779,47,A77.9 Febre maculosa NE
4386,I606,47,I60.6 Hemorragia subarac prov outr arter intracran
4387,M018,47,M01.8 Artrite em outr doenc infecc e parasit COP
4388,S350,47,S35.0 Traum da aorta abdominal
4389,D022,47,D02.2 Bronquios e pulmoes
4390,F143,47,F14.3 Sindr de abstinencia
4391,Z959,47,Z95.9 Presenca impl enxerto cardiaco e vascular NE
4392,B150,47,B15.0 Hepatite A c/coma hepatico
4393,Q730,47,Q73.0 Ausencia congen de membros NE
4394,P941,47,P94.1 Hipertonia congen
4395,C301,47,C30.1 Ouvido medio
4396,D437,47,D43.7 Outr partes do sist nervoso central
4397,A301,47,A30.1 Hanseniase tuberculoide
4398,C089,47,C08.9 Gland salivar maior NE
4399,K626,47,K62.6 Ulcera do anus e do reto
4400,D804,47,D80.4 Defic seletiva de imunoglobulina M
4401,M772,47,M77.2 Periartrite do punho
4402,Z432,47,Z43.2 Cuidados a ileostomia
4403,S199,47,S19.9 Traum NE do pescoco
4404,C171,46,C17.1 Jejuno
4405,Q203,46,Q20.3 Comunicacao ventriculo-atrial discordante
4406,S212,46,S21.2 Ferim da parede posterior do torax
4407,B690,46,B69.0 Cisticercose do sist nervoso central
4408,P371,46,P37.1 Toxoplasmose congen
4409,Q283,46,Q28.3 Outr malformacoes dos vasos cerebrais
4410,R291,46,R29.1 Meningismo
4411,Z823,46,Z82.3 Historia familiar de acid vascular cerebral
4412,H662,46,H66.2 Otite media atico-antral supurativa cronica
4413,P592,46,P59.2 Ictericia neonat outr lesoes hepatocel e NE
4414,F909,46,F90.9 Transt hipercinetico NE
4415,Q641,46,Q64.1 Extrofia vesical
4416,Q030,46,Q03.0 Malformacoes do aqueduto de Sylvius
4417,Q519,46,Q51.9 Malformacao congen NE utero colo utero SOE
4418,Q638,46,Q63.8 Outr malformacoes congen espec do rim
4419,E212,46,E21.2 Outr hiperparatireoidismo
4420,E211,46,E21.1 Hiperparatireoidismo secund NCOP
4421,T090,46,T09.0 Traum superf do tronco nivel NE
4422,T132,46,T13.2 Lux entor dist artic lig NE membr inf niv NE
4423,D014,46,D01.4 Outr partes do intestino e as NE
4424,F233,46,F23.3 Outr transt psicot agudos essenc delirantes
4425,D316,46,D31.6 Orbita NE
4426,I061,46,I06.1 Insuf aortica reumatica
4427,C630,46,C63.0 Epididimo
4428,K052,46,K05.2 Periodontite aguda
4429,N258,46,N25.8 Outr transt result func renal tubular alter
4430,M802,46,M80.2 Osteoporose de desuso c/frat patologica
4431,I613,46,I61.3 Hemorragia intracerebral do tronco cerebral
4432,S750,46,S75.0 Traum da arteria femural
4433,T860,46,T86.0 Rejeicao a transplante de medula ossea
4434,C058,46,C05.8 Lesao invasiva do palato
4435,D519,46,D51.9 Anemia p/defic de vitamina B12 NE
4436,A064,46,A06.4 Abscesso amebiano do figado
4437,Z449,46,Z44.9 Colocacao e ajustamento ap protese ext NE
4438,W184,46,W18.4 Rua e estrada
4439,K041,46,K04.1 Necrose da polpa
4440,Q255,46,Q25.5 Atresia da arteria pulmonar
4441,F145,46,F14.5 Transt psicotico
4442,B180,46,B18.0 Hepatite viral cronica B c/agente Delta
4443,E708,46,E70.8 Outr disturbios metab aminoacidos aromaticos
4444,E852,45,E85.2 Amiloidose heredofamiliar NE
4445,I308,45,I30.8 Outr form de pericardite aguda
4446,S333,45,S33.3 Luxacao outr partes e NE coluna lombar pelve
4447,J207,45,J20.7 Bronquite aguda dev echovirus
4448,H447,45,H44.7 Corpo estranho ret intra-ocular nat nao-magn
4449,A318,45,A31.8 Outr infecc micobacterianas
4450,Y589,45,Y58.9 Outr vacinas bacter e as NE
4451,F524,45,F52.4 Ejaculacao precoce
4452,C794,45,C79.4 Neopl malig secund outr part sist nerv e NE
4453,T426,45,T42.6 Outr drogas antiepilepticas sedativos-hipnot
4454,F002,45,F00.2 Demencia doenc Alzheimer form atipica mista
4455,I390,45,I39.0 Transt da valva mitral em doenc COP
4456,H541,45,H54.1 Cegueira um olho e visao subnormal em outr
4457,L42,45,L42   Pitiriase rosea
4458,A599,45,A59.9 Tricomoniase NE
4459,D763,45,D76.3 Outr sindr histiociticas
4460,B010,45,B01.0 Meningite p/varicela
4461,W559,45,W55.9 Local NE
4462,O682,45,O68.2 Trab part part anor frq card fet mec liq amn
4463,C118,45,C11.8 Lesao invasiva da nasofaringe
4464,L900,45,L90.0 Liquen escleroso e atrofico
4465,S140,45,S14.0 Concussao e edema da medula cervical
4466,C450,45,C45.0 Mesotelioma da pleura
4467,H208,45,H20.8 Outr iridociclites
4468,E309,45,E30.9 Transt NE da puberdade
4469,G709,45,G70.9 Transt mioneural NE
4470,T138,45,T13.8 Outr traum espec de membro infer nivel NE
4471,Q663,45,Q66.3 Outr deform congen dos pes em varo
4472,V289,45,V28.9 Motociclista NE acid trans
4473,S541,45,S54.1 Traum do nervo mediano ao nivel do antebraco
4474,D609,45,D60.9 Aplasia pura adquir NE da serie vermelha
4475,G832,45,G83.2 Monoplegia do membro super
4476,C051,45,C05.1 Palato mole
4477,H904,45,H90.4 Perda aud unilat neuro-sens s/rest aud contr
4478,Z315,45,Z31.5 Aconselhamento genetico
4479,O720,44,O72.0 Hemorragia do terceiro estagio
4480,E289,44,E28.9 Disfuncao ovariana NE
4481,Y609,44,Y60.9 Durante prest cuidado cirurgico e medico NE
4482,Q078,44,Q07.8 Outr malformacoes congen espec sist nervoso
4483,Q763,44,Q76.3 Escoliose congen dev malform ossea congen
4484,S643,44,S64.3 Traum do nervo digital do polegar
4485,K261,44,K26.1 Aguda c/perfuracao
4486,S762,44,S76.2 Traum do musculo e do tendao do adutor coxa
4487,K007,44,K00.7 Sindr da erupcao dentaria
4488,B374,44,B37.4 Candidiase de outr localiz urogenitais
4489,O037,44,O03.7 Completo ou NE complicado p/embolia
4490,T243,44,T24.3 Queim 3.grau quadr membr inf exc tornoz pe
4491,N392,44,N39.2 Proteinuria ortostatica NE
4492,J051,44,J05.1 Epiglotite aguda
4493,C398,44,C39.8 Lesao invasiva ap respirat org intratoracic
4494,F911,44,F91.1 Disturbio de conduta nao-socializado
4495,M761,44,M76.1 Tendinite do psoas
4496,D752,44,D75.2 Trombocitose essencial
4497,C602,44,C60.2 Corpo do penis
4498,P360,44,P36.0 Septicemia rec-nasc dev estreptococo grupo B
4499,S967,44,S96.7 Traum mult musc tendoes nivel tornozelo e pe
4500,M212,44,M21.2 Deform em flexao
4501,G418,43,G41.8 Outr estados de mal epileptico
4502,Q204,43,Q20.4 Ventriculo c/dupla via de entrada
4503,K930,43,K93.0 Transt dev tuberc intest perit gangl mesent
4504,D222,43,D22.2 Nevo melanocitico orelha e cond auditivo ext
4505,O862,43,O86.2 Infecc das vias urinarias subsequentes parto
4506,Q379,43,Q37.9 Fenda do palato c/fenda labial unilateral NE
4507,T479,43,T47.9 Subst NE que atua prim s/ap gastrointestinal
4508,K908,43,K90.8 Outr form de ma-absorcao intestinal
4509,Q820,43,Q82.0 Linfedema hereditario
4510,M061,43,M06.1 Doenc de Still do adulto
4511,G369,43,G36.9 Desmielinizacao disseminada aguda NE
4512,C753,43,C75.3 Gland pineal
4513,E144,43,E14.4 C/compl neurologicas
4514,L120,43,L12.0 Penfigoide bolhoso
4515,S118,43,S11.8 Ferim de outr partes do pescoco
4516,H171,43,H17.1 Outr opacidade central da cornea
4517,O050,43,O05.0 Incompl complic inf trato genit org pelvicos
4518,L251,43,L25.1 Dermatite de contato NE dev drogas cont pele
4519,Z034,43,Z03.4 Observacao p/suspeita de infarto miocardio
4520,P391,43,P39.1 Conjuntivite e dacriocistite neonatais
4521,F989,43,F98.9 Transt comp emoc NE c/inicio infanc adolesc
4522,T399,43,T39.9 Analges n-opiaceo antipiret e anti-reumat NE
4523,J698,43,J69.8 Pneumonite dev outr solidos e liquidos
4524,D413,43,D41.3 Uretra
4525,V011,43,V01.1 Acid trans
4526,T348,43,T34.8 Geladura c/necrose de tec do tornozelo e pe
4527,L551,43,L55.1 Queim solar de 2.grau
4528,T812,43,T81.2 Perfuracao lacerac acid durante proced NCOP
4529,G538,43,G53.8 Outr transt nervos cranianos outr doenc COP
4530,G951,43,G95.1 Mielopatias vasculares
4531,L00,43,L00   Sindr pele escaldada estafilococ recem-nasc
4532,P570,43,P57.0 Kernicterus dev isoimunizacao
4533,C923,43,C92.3 Sarcoma mieloide
4534,E125,43,E12.5 C/compl circulatorias perifericas
4535,C782,42,C78.2 Neopl malig secund da pleura
4536,I881,42,I88.1 Linfadenite cronica exceto a mesenterica
4537,D132,42,D13.2 Duodeno
4538,L100,42,L10.0 Penfigo vulgar
4539,M808,42,M80.8 Outr osteoporoses c/frat patologica
4540,S960,42,S96.0 Traum musc tend musc flex long artel torn pe
4541,S142,42,S14.2 Traum da raiz nervosa da coluna cervical
4542,D869,42,D86.9 Sarcoidose NE
4543,I454,42,I45.4 Bloqueio intraventricular nao especifico
4544,T919,42,T91.9 Sequelas de traum NE do pescoco e do tronco
4545,D612,42,D61.2 Anemia aplastica dev outr agentes externos
4546,T293,42,T29.3 Queim mult menc ao menos uma queim de 3.grau
4547,S351,42,S35.1 Traum da veia cava infer
4548,H111,42,H11.1 Degeneracoes e depositos da conjuntiva
4549,A680,42,A68.0 Febre recorrente transm p/piolhos
4550,R430,42,R43.0 Anosmia
4551,I069,42,I06.9 Doenc reumatica da valva aortica NE
4552,M812,42,M81.2 Osteoporose de desuso
4553,Z710,42,Z71.0 Pessoa que consulta interesse de um terceiro
4554,H680,42,H68.0 Salpingite da trompa de Eustaquio
4555,D860,42,D86.0 Sarcoidose do pulmao
4556,N923,42,N92.3 Sangramento da ovulacao
4557,A99,42,A99   Febres hemorragicas virais NE
4558,M029,42,M02.9 Artropatia reacional NE
4559,F421,42,F42.1 Com predom de comport compulsivos
4560,D127,42,D12.7 Juncao retossigmoide
4561,A014,42,A01.4 Febre paratifoide NE
