 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Capítulo CID-10
Período:2017
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"431237 Monte Alegre dos Campos";9;26;4;4;5;2;-;-;36;36;16;2;8;14;40;1;2;2;22;1;230
"431238 Monte Belo do Sul";6;20;-;1;4;2;3;-;32;16;16;3;9;18;7;-;-;1;31;2;171
"431240 Montenegro";298;182;23;37;258;45;54;8;367;335;353;51;39;222;657;43;29;25;167;36;3229
"431242 Mormaço";8;70;-;5;11;5;-;-;30;21;29;4;3;9;19;4;4;-;14;1;237
"431244 Morrinhos do Sul";30;25;3;9;12;4;4;-;34;64;41;4;9;33;24;3;2;2;26;9;338
"431245 Morro Redondo";14;31;3;5;15;4;1;-;37;29;21;-;-;29;61;3;2;1;18;3;277
"431247 Morro Reuter";9;40;5;5;4;6;1;2;70;32;62;2;4;19;30;-;3;3;39;6;342
"431250 Mostardas";32;60;6;14;11;13;49;-;105;94;71;5;9;58;107;10;8;6;49;16;723
"431260 Muçum";85;37;12;35;31;23;2;1;47;54;28;5;8;21;38;4;-;5;27;2;465
"431261 Muitos Capões";2;6;-;1;2;4;3;-;24;18;16;-;9;17;42;4;2;2;9;-;161
"431262 Muliterno";12;14;2;2;8;5;-;-;16;33;34;1;6;7;27;3;1;1;12;1;185
"431265 Não-Me-Toque";90;127;28;46;48;19;4;-;196;199;127;14;51;67;181;17;11;7;84;10;1326
"431267 Nicolau Vergueiro";8;12;2;1;8;1;3;-;19;7;35;1;4;15;14;2;1;1;21;-;155
"431270 Nonoai";164;66;15;45;54;28;1;-;103;357;108;23;104;131;121;22;4;10;111;28;1495
"431275 Nova Alvorada";1;44;4;3;9;1;4;-;38;6;25;3;10;9;4;4;10;1;17;2;195
"431280 Nova Araçá";13;41;1;1;17;-;-;-;28;33;32;6;11;37;58;5;4;2;27;2;318
"431290 Nova Bassano";66;77;2;5;14;23;1;1;62;127;75;6;53;45;23;1;2;7;81;1;672
"431295 Nova Boa Vista";6;19;4;7;6;4;2;-;29;20;26;2;14;11;4;3;2;-;11;-;170
"431300 Nova Bréscia";16;41;9;4;10;10;-;3;46;84;27;2;5;16;20;5;-;-;14;1;313
"431301 Nova Candelária";12;23;7;5;6;11;1;-;18;27;34;-;4;35;31;2;3;1;22;1;243
"431303 Nova Esperança do Sul";19;54;5;5;20;7;5;1;28;56;47;2;6;25;46;-;6;7;20;1;360
"431306 Nova Hartz";31;114;3;22;56;34;7;2;134;122;151;21;24;63;175;14;15;19;128;16;1151
"431308 Nova Pádua";6;4;-;1;4;2;-;-;6;20;12;1;1;7;5;-;1;-;6;-;76
"431310 Nova Palma";89;61;1;18;39;5;1;-;53;145;30;4;13;44;36;3;3;1;38;1;585
"431320 Nova Petrópolis";43;144;25;21;44;34;10;2;107;136;178;17;34;78;140;7;10;23;126;18;1197
"431330 Nova Prata";59;147;5;18;109;10;7;2;161;136;120;19;20;125;211;24;5;12;165;9;1364
"431333 Nova Ramada";6;7;4;4;15;8;3;-;27;32;19;1;3;13;11;2;1;1;11;2;170
"431335 Nova Roma do Sul";4;32;-;1;3;2;1;1;11;11;14;-;3;8;18;2;-;-;10;4;125
"431337 Nova Santa Rita";84;125;30;10;38;42;69;5;248;134;156;19;16;88;316;37;11;26;160;34;1648
"431349 Novo Barreiro";9;17;5;5;19;6;-;-;39;30;29;8;9;14;15;3;5;-;24;-;237
"431339 Novo Cabrais";9;41;2;1;10;5;-;-;23;22;31;2;4;11;34;9;1;5;37;-;247
"431340 Novo Hamburgo";571;1377;117;188;918;199;73;20;2160;1506;1767;227;197;802;2501;299;108;160;1961;200;15351
"431342 Novo Machado";49;11;2;10;7;5;1;1;35;68;51;4;2;36;6;1;-;-;29;2;320
"431344 Novo Tiradentes";14;10;1;-;8;-;1;1;26;24;17;3;6;13;31;9;2;3;26;7;202
"431346 Novo Xingu";8;25;1;2;10;11;-;-;14;26;13;1;4;11;11;-;-;-;17;1;155
"431350 Osório";187;222;34;42;114;52;123;5;402;355;315;39;67;228;518;49;17;32;209;86;3096
"431360 Paim Filho";98;47;1;4;27;8;-;1;127;26;68;9;15;22;30;2;5;2;37;1;530
"431365 Palmares do Sul";52;56;6;42;22;14;13;-;138;127;76;16;17;47;131;15;5;8;70;15;870
"431370 Palmeira das Missões";176;190;27;78;194;82;3;2;291;385;207;25;75;153;494;26;30;14;252;2;2706
"431380 Palmitinho";171;54;4;28;31;62;2;3;72;225;110;9;20;57;29;7;3;8;71;24;990
"431390 Panambi";121;242;49;42;165;47;53;6;259;368;456;32;124;266;360;34;11;30;335;24;3024
"431395 Pantano Grande";15;66;8;17;51;10;3;3;71;62;93;11;19;40;122;3;2;8;57;6;667
"431400 Paraí";9;44;4;18;59;19;-;-;61;71;65;14;26;36;37;4;4;12;46;1;530
"431402 Paraíso do Sul";42;47;4;15;14;10;1;1;95;150;67;1;10;71;41;8;1;6;34;5;623
"431403 Pareci Novo";18;12;1;-;9;2;7;-;19;15;29;2;2;11;28;3;-;-;16;2;176
"431405 Parobé";118;262;60;97;157;100;9;20;509;449;533;138;97;410;748;55;29;46;328;85;4250
"431406 Passa Sete";45;33;5;33;14;29;2;1;75;152;46;2;10;46;22;4;-;-;28;1;548
"431407 Passo do Sobrado";17;42;13;7;36;3;-;-;40;43;35;3;16;19;40;4;1;6;25;4;354
"431410 Passo Fundo";833;1734;154;238;1107;419;50;43;2369;1672;1940;388;582;1195;2335;335;186;160;1678;136;17554
"431413 Paulo Bento";12;23;1;2;9;9;-;-;26;21;22;1;10;11;24;5;-;10;30;4;220
"431415 Paverama";34;46;10;5;39;13;2;2;96;92;58;6;13;32;62;11;5;9;51;1;587
"431417 Pedras Altas";-;18;3;1;3;1;-;-;8;7;11;-;-;5;22;1;-;-;8;1;89
"431420 Pedro Osório";20;35;3;28;73;19;1;-;55;78;43;2;6;29;70;7;2;4;28;1;504
"431430 Pejuçara";13;23;-;3;12;3;1;1;19;53;23;1;3;19;20;4;2;3;17;-;220
"431440 Pelotas";1455;1732;104;271;1439;190;60;30;2014;1648;1867;165;268;1408;3990;541;167;176;1906;173;19604
"431442 Picada Café";14;40;1;6;10;4;2;3;25;36;56;10;5;34;34;2;4;6;37;9;338
"431445 Pinhal";15;29;3;3;16;1;4;1;42;33;24;7;19;24;34;5;-;9;36;8;313
"431446 Pinhal da Serra";1;18;4;4;3;3;3;-;19;12;16;-;7;12;15;-;3;1;9;2;132
"431447 Pinhal Grande";18;42;6;21;12;1;1;-;43;73;53;5;12;40;25;2;-;1;14;3;372
"431449 Pinheirinho do Vale";50;29;4;12;26;20;-;1;49;90;70;12;10;43;23;7;4;5;46;2;503
"431450 Pinheiro Machado";15;79;8;11;29;4;3;-;71;103;63;1;8;53;101;11;3;2;36;4;605
"431454 Pinto Bandeira";4;10;1;-;2;4;2;-;13;7;13;2;3;4;15;2;3;2;25;1;113
"431455 Pirapó";9;20;4;3;6;8;1;-;14;25;29;1;2;7;12;4;-;2;17;2;166
"431460 Piratini";63;99;24;86;199;49;-;2;201;312;128;5;5;181;129;8;5;3;73;1;1573
"431470 Planalto";61;86;13;17;61;41;9;3;105;272;107;10;55;94;124;5;2;8;142;37;1252
"431475 Poço das Antas";13;31;1;-;5;5;-;4;30;30;14;2;8;15;7;1;1;1;20;3;191
"431477 Pontão";9;32;1;14;12;4;2;2;41;47;38;13;7;24;37;7;2;4;38;1;335
"431478 Ponte Preta";3;20;-;-;-;1;-;1;13;10;10;1;12;10;4;1;3;3;20;6;118
"431480 Portão";228;144;28;50;125;72;25;6;200;103;217;25;19;140;315;32;13;25;193;20;1980
"431490 Porto Alegre";7779;8498;549;1606;5046;2745;792;271;13130;12130;8701;1799;1622;6565;14745;2079;750;1465;9601;1897;101770
"431500 Porto Lucena";168;38;5;38;13;2;1;-;53;215;50;-;4;10;22;2;-;2;16;1;640
"431505 Porto Mauá";13;9;-;2;11;1;1;-;25;50;15;1;4;21;3;1;-;1;12;1;171
"431507 Porto Vera Cruz";13;8;-;14;4;4;2;-;27;54;39;-;6;9;16;2;1;4;11;1;215
"431510 Porto Xavier";24;29;2;47;40;40;4;1;82;211;133;-;24;42;50;2;6;1;30;-;768
"431513 Pouso Novo";37;23;1;9;17;19;-;-;42;69;25;4;19;11;13;1;1;9;21;2;323
"431514 Presidente Lucena";7;16;1;2;7;10;-;-;21;18;22;4;18;15;17;-;2;-;27;-;187
"431515 Progresso";73;79;1;18;51;49;1;-;115;213;49;5;37;27;26;2;6;1;33;1;787
"431517 Protásio Alves";-;25;-;3;2;2;-;-;17;19;20;4;2;4;15;-;4;-;13;3;133
"431520 Putinga";29;18;5;12;19;33;-;1;52;53;15;3;14;16;7;7;2;3;20;3;312
"431530 Quaraí";80;106;7;51;117;39;-;1;199;373;354;10;25;156;168;34;3;14;94;4;1835
"431531 Quatro Irmãos";6;30;-;-;6;6;1;-;19;11;24;1;9;8;21;2;1;4;15;8;172
"431532 Quevedos";4;12;-;-;2;-;2;-;8;8;16;1;-;5;13;-;-;3;6;2;82
"431535 Quinze de Novembro";4;23;4;16;12;5;1;-;52;37;47;2;12;15;5;4;3;1;22;-;265
"431540 Redentora";46;46;2;9;62;15;5;1;53;107;96;22;16;40;167;27;9;21;77;23;844
"431545 Relvado";6;10;4;3;12;1;-;-;24;23;16;2;5;3;5;-;-;2;19;1;136
"431550 Restinga Seca";146;63;8;25;36;32;11;4;126;185;85;5;29;107;123;11;1;8;58;16;1079
"431555 Rio dos Índios";47;29;4;18;12;7;1;-;20;87;27;9;22;31;23;6;-;7;34;9;393
"431560 Rio Grande";831;813;76;169;1048;174;33;18;2158;1118;1116;198;126;717;2439;227;60;86;769;191;12367
"431570 Rio Pardo";114;297;52;65;165;56;7;3;282;470;373;67;71;218;451;43;16;50;232;33;3065
"431575 Riozinho";10;19;2;10;10;4;-;5;18;62;46;13;5;41;40;2;1;8;36;6;338
"431580 Roca Sales";21;73;22;45;83;12;1;3;94;163;75;6;26;53;81;5;11;5;42;4;825
"431590 Rodeio Bonito";53;79;4;7;12;6;-;4;64;68;56;9;42;50;76;15;9;26;80;33;693
"431595 Rolador";10;23;2;9;2;8;2;-;29;43;41;1;4;7;6;-;-;1;11;2;201
"431600 Rolante";54;284;55;39;47;45;5;8;148;232;274;185;49;172;222;20;14;18;165;18;2054
"431610 Ronda Alta";66;104;22;29;88;31;3;3;128;276;120;10;67;119;47;8;11;5;60;1;1198
"431620 Rondinha";69;34;7;6;23;13;-;-;94;92;40;2;35;29;3;1;1;1;37;-;487
"431630 Roque Gonzales";59;36;8;30;11;35;-;-;61;102;51;2;10;48;34;4;3;4;28;7;533
"431640 Rosário do Sul";211;134;16;101;182;44;5;7;384;680;264;15;66;195;394;58;9;19;248;4;3036
"431642 Sagrada Família";9;12;3;7;8;9;-;1;21;13;22;4;12;11;14;3;2;2;18;1;172
"431643 Saldanha Marinho";1;6;4;1;9;2;6;1;26;39;34;4;3;23;14;1;-;-;16;-;190
"431645 Salto do Jacuí";23;32;14;13;53;9;2;-;66;90;50;9;16;44;96;5;3;-;72;1;598
"431647 Salvador das Missões";13;30;1;2;6;15;-;-;24;60;22;2;9;26;8;2;1;6;26;-;253
"431650 Salvador do Sul";20;32;3;9;21;2;6;2;53;60;61;4;4;36;50;6;3;-;29;4;405
"431660 Sananduva";264;105;5;23;70;46;7;-;243;314;105;8;38;55;188;40;14;9;131;5;1670
"431710 Sant'Ana do Livramento";173;238;56;126;295;140;4;14;646;684;503;95;56;223;1032;68;24;32;546;50;5005
"431670 Santa Bárbara do Sul";57;34;4;48;48;10;12;-;68;133;77;16;18;48;93;6;-;5;42;1;720
"431673 Santa Cecília do Sul";6;15;1;4;4;1;-;-;19;57;20;3;5;10;20;-;1;-;26;-;192
"431675 Santa Clara do Sul";26;79;4;4;29;3;2;1;98;43;52;7;11;14;70;3;1;3;30;3;483
"431680 Santa Cruz do Sul";284;918;62;74;404;122;45;49;1057;1059;1114;97;311;488;1420;190;61;122;991;127;8995
"431697 Santa Margarida do Sul";3;16;-;9;8;3;-;1;27;22;18;-;6;11;3;2;-;7;13;-;149
"431690 Santa Maria";321;1657;50;113;895;204;42;22;808;1049;853;100;150;602;2483;233;73;119;945;116;10835
"431695 Santa Maria do Herval";5;38;2;1;9;13;3;2;44;29;41;9;13;11;30;1;1;4;41;2;299
"431720 Santa Rosa";302;336;6;70;244;101;28;23;543;918;575;50;155;340;788;103;39;42;368;121;5152
"431725 Santa Tereza";4;13;-;-;1;5;1;-;21;24;21;5;2;3;6;12;-;2;22;4;146
"431730 Santa Vitória do Palmar";61;134;17;64;158;19;3;4;211;217;195;91;44;177;431;29;13;9;107;66;2050
"431700 Santana da Boa Vista";11;26;11;7;11;5;2;1;38;20;33;-;1;14;72;10;2;3;31;2;300
"431740 Santiago";229;316;18;57;144;91;13;8;374;469;378;26;51;156;371;30;11;27;270;43;3082
"431750 Santo Ângelo";237;392;14;62;349;194;10;12;315;768;588;50;274;308;750;101;25;24;397;25;4895
"431760 Santo Antônio da Patrulha";98;184;27;25;51;44;233;8;314;260;251;21;38;158;318;41;25;40;282;46;2464
"431770 Santo Antônio das Missões";22;76;19;8;16;28;-;-;77;100;70;5;9;32;37;1;4;2;30;6;542
"431755 Santo Antônio do Palma";4;22;-;2;7;4;-;-;31;18;29;2;14;10;6;2;3;3;12;1;170
"431775 Santo Antônio do Planalto";7;20;3;6;2;5;3;-;24;24;28;-;22;7;16;2;3;4;11;-;187
"431780 Santo Augusto";91;85;17;52;98;105;8;-;145;260;146;4;9;68;144;12;2;1;64;5;1316
"431790 Santo Cristo";111;72;18;80;24;49;4;-;163;347;256;6;18;44;81;12;5;4;72;15;1381
"431795 Santo Expedito do Sul";16;30;5;4;4;6;1;-;39;30;23;3;4;16;17;3;2;2;7;2;214
"431800 São Borja";382;357;209;135;206;118;10;6;824;504;668;19;70;431;658;50;29;79;353;28;5136
"431805 São Domingos do Sul";6;34;-;1;12;5;2;-;23;22;12;2;10;4;17;7;1;5;16;2;181
"431810 São Francisco de Assis";142;107;16;70;105;37;4;2;146;228;140;3;6;68;125;8;7;6;58;3;1281
"431820 São Francisco de Paula";56;91;13;68;176;44;9;2;247;341;187;7;46;76;186;14;12;9;98;13;1695
"431830 São Gabriel";282;456;21;227;349;118;8;17;834;886;524;45;101;337;377;62;18;87;388;9;5146
"431840 São Jerônimo";153;100;27;25;59;23;6;7;206;199;193;23;48;155;267;14;11;19;148;27;1710
"431842 São João da Urtiga";50;39;3;6;24;28;1;-;73;62;31;13;18;19;26;2;2;1;31;4;433
"431843 São João do Polêsine";15;25;6;8;9;8;1;-;30;38;27;1;10;12;26;1;1;-;11;2;231
"431844 São Jorge";7;39;1;-;1;1;1;-;15;20;23;2;7;17;11;1;1;5;14;2;168
"431845 São José das Missões";6;6;4;6;12;6;-;-;25;12;11;2;7;10;2;-;-;-;15;-;124
"431846 São José do Herval";8;20;2;7;7;1;-;-;24;68;24;2;3;23;10;-;1;-;12;-;212
"431848 São José do Hortêncio";15;14;3;4;23;5;3;3;32;26;37;5;2;24;20;3;6;4;19;2;250
"431849 São José do Inhacorá";2;12;1;3;2;-;1;-;18;29;22;4;6;10;25;5;-;2;17;2;161
"431850 São José do Norte";58;95;12;27;298;12;3;1;201;219;98;18;19;109;247;20;10;12;84;11;1554
"431860 São José do Ouro";86;49;25;23;14;11;1;-;133;199;70;17;15;90;48;6;4;2;47;3;843
"431861 São José do Sul";5;10;-;-;8;2;-;1;15;14;15;6;2;9;10;-;1;3;7;-;108
"431862 São José dos Ausentes";9;14;1;5;12;5;1;-;30;26;32;3;7;6;59;3;-;3;19;-;235
"431870 São Leopoldo";903;998;95;176;168;289;82;24;1471;1352;1244;211;279;691;2429;199;75;187;1149;114;12136
"431880 São Lourenço do Sul";249;208;15;86;581;68;12;-;378;633;330;61;25;313;352;46;18;18;130;13;3536
"431890 São Luiz Gonzaga";179;229;53;86;173;123;3;2;267;594;348;5;58;128;229;27;20;10;171;25;2730
"431900 São Marcos";24;70;30;92;28;41;1;3;280;321;230;12;44;191;157;19;4;3;150;9;1709
"431910 São Martinho";34;48;6;3;22;8;2;2;70;66;58;4;7;38;38;1;4;2;36;1;450
"431912 São Martinho da Serra";4;17;-;-;7;1;-;-;6;2;9;-;-;2;7;1;-;-;6;1;63
"431915 São Miguel das Missões";148;15;3;15;9;10;1;-;59;159;37;4;15;43;65;9;4;3;31;-;630
"431920 São Nicolau";13;33;11;4;13;29;3;-;36;53;51;-;4;11;35;2;5;2;22;6;333
"431930 São Paulo das Missões";34;16;10;7;20;15;-;-;105;223;86;8;1;36;39;1;1;2;25;2;631
"431935 São Pedro da Serra";13;18;3;1;3;9;5;3;23;26;34;2;7;15;21;1;2;-;10;4;200
"431936 São Pedro das Missões";3;5;-;4;11;5;-;-;9;13;16;3;6;11;11;1;1;1;6;-;106
"431937 São Pedro do Butiá";7;40;6;5;6;10;-;1;21;36;24;3;6;12;24;2;2;2;21;1;229
"431940 São Pedro do Sul";35;126;20;11;95;29;4;2;99;174;98;5;13;69;105;17;8;8;94;7;1019
"431950 São Sebastião do Caí";100;112;14;21;135;32;25;5;159;205;140;15;21;96;208;20;13;9;88;24;1442
"431960 São Sepé";83;222;29;50;87;74;10;2;162;352;187;9;22;103;168;31;5;9;90;17;1712
"431970 São Valentim";6;30;1;1;8;5;1;1;40;14;35;3;11;11;28;7;2;18;37;6;265
"431971 São Valentim do Sul";40;38;4;4;7;3;1;1;26;72;45;1;7;28;4;-;-;6;6;3;296
"431973 São Valério do Sul";19;15;2;14;15;8;1;-;40;69;30;5;4;12;32;4;-;2;19;2;293
"431975 São Vendelino";8;21;2;1;1;3;-;-;20;17;13;1;-;12;11;4;2;3;20;2;141
"431980 São Vicente do Sul";45;41;7;17;26;9;2;4;46;94;108;4;5;44;79;6;5;10;35;2;589
"431990 Sapiranga";208;443;36;63;227;111;37;14;716;450;846;92;77;358;875;75;33;96;602;88;5447
"432000 Sapucaia do Sul";865;631;55;91;548;206;45;13;1366;1059;1212;145;114;652;1573;144;69;80;805;100;9773
"432010 Sarandi";33;133;42;65;126;34;8;1;175;163;169;12;125;105;148;24;5;4;130;11;1513
"432020 Seberi";73;108;23;30;51;19;-;2;83;195;134;31;36;86;131;38;4;84;106;13;1247
"432023 Sede Nova";21;14;5;4;13;8;1;-;32;24;39;4;8;21;23;-;-;2;7;1;227
"432026 Segredo";98;38;6;38;73;27;2;-;135;124;62;-;9;58;27;3;2;3;72;4;781
"432030 Selbach";45;12;1;10;16;6;6;2;40;47;30;1;14;17;9;3;2;3;35;2;301
"432032 Senador Salgado Filho";31;14;4;2;6;6;1;-;37;54;29;-;7;8;25;4;2;-;12;-;242
"432035 Sentinela do Sul";44;21;3;10;12;8;3;3;42;49;36;2;11;22;53;10;1;3;32;9;374
"432040 Serafina Corrêa";173;107;24;19;38;21;5;2;130;130;122;21;43;70;84;11;9;13;102;4;1128
"432045 Sério";4;20;-;2;7;5;3;-;21;26;19;-;2;3;17;4;-;1;10;2;146
"432050 Sertão";10;39;6;4;33;7;-;1;96;54;62;6;17;27;47;7;5;3;48;4;476
"432055 Sertão Santana";21;32;1;2;7;7;8;3;44;34;47;8;9;31;63;5;2;9;38;7;378
"432057 Sete de Setembro";10;15;6;1;8;5;-;-;32;20;31;-;10;13;8;2;-;-;10;-;171
"432060 Severiano de Almeida";46;30;14;9;11;2;4;3;45;104;35;2;17;21;13;3;1;7;25;6;398
"432065 Silveira Martins";4;39;-;2;15;4;1;-;12;16;20;1;9;9;13;2;2;-;14;5;168
"432067 Sinimbu";62;125;11;41;24;21;2;1;120;142;71;20;12;47;84;6;6;12;79;9;895
"432070 Sobradinho";172;104;21;91;65;71;3;1;170;384;154;4;23;139;85;19;4;3;89;5;1607
"432080 Soledade";188;162;16;67;205;88;7;3;440;403;316;28;82;170;266;33;30;15;112;10;2641
"432085 Tabaí";20;18;8;4;2;6;3;1;31;29;38;3;-;23;51;3;4;-;21;4;269
"432090 Tapejara";88;185;15;41;88;61;7;2;281;339;170;28;78;121;234;21;21;5;200;10;1995
"432100 Tapera";26;78;10;37;25;33;1;4;77;153;134;26;36;77;26;5;4;11;52;4;819
"432110 Tapes";79;98;3;16;61;16;12;5;108;81;81;6;21;61;221;28;6;11;68;24;1006
"432120 Taquara";138;321;28;58;160;49;25;11;405;408;432;73;47;234;615;42;18;49;312;27;3452
"432130 Taquari";74;137;15;68;192;28;7;2;257;247;95;13;13;102;197;18;9;17;125;5;1621
"432132 Taquaruçu do Sul";10;11;1;1;5;5;-;-;21;23;16;7;13;13;6;7;-;2;24;9;174
"432135 Tavares";8;22;1;4;5;9;33;-;45;24;39;2;4;4;41;4;2;4;33;5;289
"432140 Tenente Portela";59;75;4;14;71;17;4;2;122;142;160;44;30;95;149;34;17;37;127;75;1278
"432143 Terra de Areia";8;41;5;4;21;15;23;-;84;45;88;11;12;26;106;8;10;9;58;12;586
"432145 Teutônia";118;270;33;23;155;27;9;17;349;373;219;30;38;150;213;43;16;15;152;3;2253
"432146 Tio Hugo";13;32;2;4;2;7;2;1;46;32;35;1;13;21;25;4;4;1;29;2;276
"432147 Tiradentes do Sul";53;53;1;7;31;34;1;1;66;55;89;8;17;39;42;1;3;10;37;24;572
"432149 Toropi";7;6;6;5;8;9;1;-;19;24;21;3;6;17;20;3;1;1;14;3;174
"432150 Torres";121;271;16;44;156;56;46;-;426;246;327;44;70;308;484;41;9;29;257;52;3003
"432160 Tramandaí";162;217;16;25;70;53;105;3;465;245;308;52;68;173;844;123;32;28;271;54;3314
"432162 Travesseiro";46;30;1;1;8;9;-;1;47;84;24;1;2;23;6;2;1;-;6;-;292
"432163 Três Arroios";16;39;-;3;4;3;1;-;21;24;24;4;3;24;4;2;-;9;15;2;198
"432166 Três Cachoeiras";27;100;3;9;19;23;42;2;121;59;78;13;28;82;101;8;11;4;66;19;815
"432170 Três Coroas";131;119;9;36;167;32;6;12;340;413;387;27;31;126;237;32;14;21;146;23;2309
"432180 Três de Maio";68;145;29;35;56;33;6;6;191;198;176;12;24;126;330;36;7;34;136;10;1658
"432183 Três Forquilhas";7;32;3;1;10;4;5;-;31;23;30;7;6;36;24;1;2;3;22;3;250
"432185 Três Palmeiras";28;30;9;8;34;9;1;1;64;98;42;7;32;55;49;10;4;-;23;6;510
"432190 Três Passos";245;134;4;23;161;51;4;8;290;191;227;41;80;162;206;22;9;33;199;83;2173
"432195 Trindade do Sul";30;42;-;24;33;8;1;-;98;172;54;2;41;64;45;8;5;2;28;1;658
"432200 Triunfo";95;125;25;68;52;24;13;3;205;272;147;39;28;144;271;22;9;22;126;4;1694
"432210 Tucunduva";95;35;2;21;18;9;-;-;31;215;63;3;8;59;17;5;1;3;20;2;607
"432215 Tunas";15;26;-;10;17;3;1;-;55;54;37;7;11;26;8;2;5;-;27;2;306
"432218 Tupanci do Sul";14;13;12;10;1;3;1;-;25;48;23;2;4;22;7;-;-;1;12;-;198
"432220 Tupanciretã";116;170;12;53;88;23;-;4;165;281;134;17;20;116;228;31;5;6;101;4;1574
"432225 Tupandi";14;19;1;6;12;1;2;1;32;32;35;2;2;23;44;3;4;1;16;4;254
"432230 Tuparendi";65;47;-;15;29;3;1;-;125;173;70;8;9;39;17;6;-;4;40;-;651
"432232 Turuçu";14;13;-;4;16;3;1;-;26;36;19;1;1;26;39;5;3;-;11;1;219
"432234 Ubiretama";11;14;1;3;5;8;-;-;18;37;18;1;3;11;14;4;-;-;18;1;167
"432235 União da Serra";-;8;1;3;1;5;-;3;17;24;7;-;5;14;6;-;2;-;5;-;101
"432237 Unistalda";18;28;1;2;1;1;2;-;24;23;22;2;2;10;25;1;-;3;20;2;187
"432240 Uruguaiana";242;600;40;70;202;97;10;5;784;741;738;37;51;366;1620;240;41;45;366;37;6332
"432250 Vacaria";204;393;73;127;36;92;35;5;650;633;441;50;162;341;864;48;29;31;330;76;4620
"432253 Vale do Sol";37;117;9;21;34;34;-;3;107;149;117;8;27;45;68;6;5;10;66;11;874
"432254 Vale Real";8;27;7;7;15;-;-;-;33;36;38;5;5;22;26;2;4;4;21;4;264
"432252 Vale Verde";8;40;5;4;15;2;-;-;28;37;22;2;17;16;24;3;1;2;24;-;250
"432255 Vanini";11;35;7;2;8;5;1;-;10;40;22;3;12;15;6;2;-;-;16;1;196
"432260 Venâncio Aires";241;370;116;110;355;75;12;6;638;706;456;37;190;217;626;62;33;44;370;21;4685
"432270 Vera Cruz";214;282;19;53;96;75;2;2;113;231;216;18;28;74;234;19;15;23;119;19;1852
"432280 Veranópolis";100;149;22;26;99;13;2;4;154;156;167;23;44;104;155;12;2;30;211;14;1487
"432285 Vespasiano Correa";20;18;5;1;6;4;-;-;22;26;17;-;2;8;24;4;2;2;17;1;179
"432290 Viadutos";23;54;2;4;18;29;-;14;50;101;52;2;13;46;25;5;1;11;42;10;502
"432300 Viamão";929;1189;100;217;481;258;58;28;1887;1963;1460;327;179;1111;2925;356;137;169;1064;384;15222
"432310 Vicente Dutra";18;30;7;5;28;7;1;-;42;62;49;9;6;24;51;14;2;3;37;9;404
"432320 Victor Graeff";6;25;3;4;2;6;1;-;30;23;22;1;21;15;18;-;4;2;15;3;201
"432330 Vila Flores";14;25;1;3;9;6;-;-;19;24;27;3;12;15;30;1;-;3;38;1;231
"432335 Vila Lângaro";19;30;4;7;5;9;1;1;40;57;37;4;26;14;13;-;4;1;39;3;314
"432340 Vila Maria";3;29;24;4;15;4;1;-;43;18;25;10;13;21;3;1;4;1;30;1;250
"432345 Vila Nova do Sul";4;26;-;7;9;10;2;2;17;33;16;2;7;7;14;2;-;3;15;-;176
"432350 Vista Alegre";16;17;6;7;12;10;2;2;19;49;33;13;9;15;11;2;2;3;29;5;262
"432360 Vista Alegre do Prata";4;18;1;-;5;9;-;1;9;17;18;-;1;15;6;1;-;-;14;-;119
"432370 Vista Gaúcha";3;13;3;1;7;10;1;-;16;26;15;4;11;15;7;2;-;5;29;14;182
"432375 Vitória das Missões";46;16;-;5;19;5;-;-;17;81;26;-;16;19;27;1;1;-;22;1;302
"432377 Westfalia";18;39;7;1;5;4;-;2;57;69;29;5;12;16;23;8;2;5;19;2;323
"432380 Xangri-lá";26;42;7;12;35;20;25;1;167;78;141;27;69;73;263;19;13;12;107;41;1178
"500020 Água Clara";37;55;13;8;10;5;4;2;57;74;58;12;7;81;266;20;7;12;88;1;817
"500025 Alcinópolis";4;10;1;2;1;2;3;1;10;5;17;2;4;10;30;4;-;2;56;5;169
"500060 Amambai";254;169;7;70;4;25;6;1;113;452;319;41;17;223;559;27;3;22;278;10;2600
"500070 Anastácio";165;81;26;119;8;14;29;5;184;302;247;42;32;196;372;23;7;9;223;56;2140
"500080 Anaurilândia";50;19;7;22;4;8;1;2;37;102;33;12;6;70;86;4;-;33;38;5;539
"500085 Angélica";52;50;10;22;3;5;9;-;57;109;60;5;2;55;103;5;3;9;41;6;606
"500090 Antônio João";35;8;3;18;4;3;1;2;14;78;24;18;1;35;89;3;-;2;31;-;369
"500100 Aparecida do Taboado";38;92;7;41;10;11;47;-;81;149;90;16;9;113;158;18;4;9;68;26;987
"500110 Aquidauana";217;146;36;286;11;40;18;4;380;420;407;93;64;236;801;50;13;50;481;128;3881
"500124 Aral Moreira";74;23;4;69;7;12;1;1;51;189;66;11;1;109;191;19;2;3;73;2;908
"500150 Bandeirantes";10;16;1;2;3;13;6;-;16;14;27;8;2;22;63;13;1;7;49;1;274
